SEASON,AGE,TEAM,LEAGUE,POS,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PLAYER
2013-14,25.0,PHI,NBA,PF,79.0,78.0,34.4,7.4,16.2,0.454,1.1,3.7,0.308,6.2,12.5,0.496,0.489,2.1,2.9,0.712,2.1,3.9,6.0,2.3,2.1,0.5,2.1,2.7,17.9,Thaddeus Young
2014-15,26.0,TOT,NBA,PF,76.0,68.0,32.0,5.9,12.7,0.466,0.5,1.5,0.33,5.4,11.2,0.484,0.486,1.7,2.6,0.655,1.7,3.7,5.4,2.3,1.6,0.3,1.5,2.3,14.1,Thaddeus Young
2014-15,26.0,MIN,NBA,PF,48.0,48.0,33.4,6.0,13.4,0.451,0.4,1.4,0.292,5.6,12.0,0.469,0.466,1.8,2.7,0.682,1.6,3.5,5.1,2.8,1.8,0.4,1.6,2.4,14.3,Thaddeus Young
2014-15,26.0,BRK,NBA,PF,28.0,20.0,29.6,5.8,11.7,0.495,0.7,1.8,0.38,5.1,9.9,0.516,0.524,1.5,2.5,0.606,1.9,4.1,5.9,1.4,1.4,0.3,1.5,2.0,13.8,Thaddeus Young
2015-16,27.0,BRK,NBA,PF,73.0,73.0,33.0,6.8,13.2,0.514,0.1,0.4,0.233,6.7,12.8,0.523,0.518,1.4,2.2,0.644,2.4,6.6,9.0,1.9,1.5,0.5,1.9,2.5,15.1,Thaddeus Young
2016-17,28.0,IND,NBA,PF,74.0,74.0,30.2,4.9,9.3,0.527,0.6,1.6,0.381,4.3,7.7,0.557,0.56,0.6,1.2,0.523,1.8,4.3,6.1,1.6,1.5,0.4,1.3,1.8,11.0,Thaddeus Young
2017-18,29.0,IND,NBA,PF,81.0,81.0,32.2,5.2,10.7,0.487,0.7,2.2,0.32,4.5,8.4,0.531,0.521,0.7,1.1,0.598,2.3,4.0,6.3,1.9,1.7,0.4,1.3,2.2,11.8,Thaddeus Young
2018-19,30.0,IND,NBA,PF,81.0,81.0,30.7,5.5,10.4,0.527,0.6,1.8,0.349,4.8,8.6,0.564,0.557,1.1,1.7,0.644,2.4,4.1,6.5,2.5,1.5,0.4,1.5,2.4,12.6,Thaddeus Young
2019-20,31.0,CHI,NBA,PF,64.0,16.0,24.9,4.2,9.4,0.448,1.2,3.5,0.356,3.0,5.9,0.501,0.513,0.7,1.1,0.583,1.5,3.5,4.9,1.8,1.4,0.4,1.6,2.1,10.3,Thaddeus Young
2020-21,32.0,CHI,NBA,PF,68.0,23.0,24.3,5.4,9.7,0.559,0.2,0.7,0.267,5.3,9.1,0.58,0.568,1.0,1.7,0.628,2.5,3.8,6.2,4.3,1.1,0.6,2.0,2.2,12.1,Thaddeus Young
2021-22,33.0,TOT,NBA,PF,52.0,1.0,16.3,2.7,5.2,0.518,0.3,0.9,0.354,2.4,4.3,0.554,0.55,0.4,0.9,0.469,1.5,2.5,4.0,2.0,1.0,0.3,1.0,1.6,6.2,Thaddeus Young
2021-22,33.0,SAS,NBA,PF,26.0,1.0,14.2,2.8,4.9,0.578,0.0,0.2,0.0,2.8,4.7,0.602,0.578,0.4,0.8,0.455,1.5,2.0,3.6,2.3,0.9,0.3,1.2,1.5,6.1,Thaddeus Young
2021-22,33.0,TOR,NBA,PF,26.0,0.0,18.3,2.6,5.5,0.465,0.7,1.7,0.395,1.9,3.9,0.495,0.524,0.5,1.0,0.481,1.5,2.9,4.4,1.7,1.2,0.4,0.8,1.7,6.3,Thaddeus Young
2022-23,34.0,TOR,NBA,PF,54.0,9.0,14.7,2.0,3.7,0.545,0.1,0.6,0.176,1.9,3.0,0.622,0.561,0.3,0.5,0.692,1.3,1.8,3.1,1.4,1.0,0.1,0.8,1.6,4.4,Thaddeus Young
