DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2020-02-02,19-211,NOP,AWAY,HOU,L (-8),1,32:59,.615,.571,15.2,12.5,13.7,4.8,1.4,2.7,14.9,23.6,118,111,17.2,2.9,Zion Williamson
2020-02-04,19-213,NOP,HOME,MIL,L (-12),1,31:47,.397,.263,11.4,9.2,10.4,24.8,1.3,0.0,13.7,34.8,86,107,10.1,-4.1,Zion Williamson
2020-02-06,19-215,NOP,AWAY,CHI,W (+6),1,25:13,.795,.818,5.0,12.2,9.0,6.0,3.6,3.0,27.5,29.8,104,110,16.1,0.1,Zion Williamson
2020-02-11,19-220,NOP,HOME,POR,W (+21),1,27:52,.669,.588,24.6,10.8,17.2,27.1,1.7,0.0,7.9,36.4,145,114,29.1,9.3,Zion Williamson
2020-02-13,19-222,NOP,HOME,OKC,L (-5),1,31:26,.647,.579,10.7,10.7,10.7,6.1,0.0,2.3,10.8,36.8,120,121,22.5,1.6,Zion Williamson
2020-02-21,19-230,NOP,AWAY,POR,W (+13),1,29:17,.584,.588,3.9,9.8,7.1,17.2,1.6,0.0,0.0,30.4,125,112,19.4,1.6,Zion Williamson
2020-02-23,19-232,NOP,AWAY,GSW,W (+14),1,33:08,.618,.675,17.0,3.0,10.1,10.7,0.0,2.5,4.2,29.3,125,108,22.4,5.1,Zion Williamson
2020-02-25,19-234,NOP,AWAY,LAL,L (-9),1,32:52,.550,.444,6.8,11.0,9.1,16.0,1.3,0.0,10.2,36.0,106,110,19.1,2.4,Zion Williamson
2020-02-28,19-237,NOP,HOME,CLE,W (+12),1,30:27,.711,.688,4.4,6.7,5.7,10.3,3.2,0.0,19.2,29.8,113,108,17.1,-1.6,Zion Williamson
2020-03-01,19-239,NOP,HOME,LAL,L (-8),1,33:14,.806,.750,6.4,16.8,11.5,0.0,0.0,0.0,21.6,31.9,124,119,23.9,5.2,Zion Williamson
2020-03-03,19-241,NOP,HOME,MIN,L (-5),1,32:38,.544,.526,9.8,17.9,13.7,11.8,5.3,2.3,4.2,27.8,119,118,21.9,1.6,Zion Williamson
2020-03-04,19-242,NOP,AWAY,DAL,L (-4),1,34:56,.520,.500,5.2,14.1,9.0,12.5,0.0,0.0,9.0,25.4,106,117,13.1,-1.7,Zion Williamson
2020-03-06,19-244,NOP,HOME,MIA,W (+6),1,32:04,.790,.778,6.0,12.5,9.2,10.9,1.5,5.6,21.8,17.1,123,100,16.1,5.9,Zion Williamson
2020-03-08,19-246,NOP,AWAY,MIN,W (+13),1,31:42,.652,.633,3.5,17.1,11.0,5.0,0.0,2.5,14.5,24.3,111,96,16.2,3.2,Zion Williamson
2020-07-30,20-024,NOP,HOME,UTA,L (-2),1,15:10,.770,.750,0.0,0.0,0.0,15.1,0.0,0.0,19.2,27.1,118,115,7.3,3.0,Zion Williamson
2020-08-01,20-026,NOP,AWAY,LAC,L (-23),1,14:11,.444,.429,6.9,28.8,17.6,0.0,0.0,0.0,27.6,31.9,65,121,1.0,-15.3,Zion Williamson
2020-08-03,20-028,NOP,HOME,MEM,W (+10),1,25:07,.453,.429,13.3,15.6,14.5,48.3,0.0,0.0,7.3,46.3,98,101,13.9,2.2,Zion Williamson
2020-08-06,20-031,NOP,AWAY,SAC,L (-15),1,21:56,.796,.833,0.0,11.5,6.3,17.4,0.0,0.0,0.0,30.2,158,144,20.4,9.3,Zion Williamson
2020-08-09,20-034,NOP,HOME,SAS,L (-9),1,27:11,.552,.500,17.0,7.5,12.5,7.3,0.0,0.0,4.2,33.5,120,123,17.2,2.1,Zion Williamson
2022-10-19,22-105,NOP,AWAY,BRK,W (+22),1,30:03,.526,.500,9.4,19.6,14.4,14.8,6.2,0.0,7.8,32.9,117,95,20.4,6.6,Zion Williamson
2022-10-21,22-107,NOP,AWAY,CHO,W (+12),1,30:43,.385,.368,7.6,9.6,8.7,15.1,1.5,0.0,12.6,30.9,87,114,7.1,-10.2,Zion Williamson
2022-10-23,22-109,NOP,HOME,UTA,L (-1),1,29:53,.671,.625,8.2,15.4,12.0,5.9,1.6,5.9,17.7,31.2,113,111,17.9,5.4,Zion Williamson
2022-10-30,22-116,NOP,AWAY,LAC,W (+21),1,30:32,.560,.529,11.0,30.8,21.2,34.5,1.7,0.0,5.1,29.2,131,94,21.6,9.3,Zion Williamson
2022-11-02,22-119,NOP,AWAY,LAL,L (-3),1,36:36,.551,.524,5.2,8.5,6.8,32.6,0.0,0.0,10.9,32.1,107,114,17.7,0.9,Zion Williamson
2022-11-04,22-121,NOP,HOME,GSW,W (+9),1,27:55,.627,.636,0.0,16.6,7.8,5.9,1.8,0.0,13.6,23.3,108,109,10.1,-3.0,Zion Williamson
2022-11-05,22-122,NOP,AWAY,ATL,L (-3),1,37:16,.594,.550,5.0,16.4,10.4,18.1,0.0,0.0,22.3,32.8,101,114,16.4,0.0,Zion Williamson
2022-11-07,22-124,NOP,AWAY,IND,L (-7),1,33:59,.737,.733,8.8,14.1,11.2,29.2,2.8,3.7,5.4,23.0,154,125,27.0,13.1,Zion Williamson
2022-11-09,22-126,NOP,AWAY,CHI,W (+4),1,30:50,.654,.545,14.8,3.6,9.2,4.8,0.0,0.0,6.4,20.9,141,116,14.9,0.9,Zion Williamson
2022-11-10,22-127,NOP,HOME,POR,L (-11),1,31:40,.704,.679,3.4,16.1,10.0,23.5,1.6,0.0,12.7,33.6,127,113,21.5,10.6,Zion Williamson
2022-11-12,22-129,NOP,HOME,HOU,W (+13),1,35:02,.910,.889,3.0,12.1,6.9,26.5,1.4,0.0,17.4,21.2,156,111,24.7,9.9,Zion Williamson
2022-11-21,22-138,NOP,HOME,GSW,W (+45),1,23:06,.514,.429,0.0,9.7,4.9,19.4,0.0,0.0,18.6,19.6,105,91,5.9,-5.9,Zion Williamson
2022-11-23,22-140,NOP,AWAY,SAS,W (+19),1,26:39,.743,.778,19.5,30.0,25.1,8.3,3.4,3.5,4.4,34.9,144,97,30.3,14.6,Zion Williamson
2022-11-25,22-142,NOP,AWAY,MEM,L (-21),1,30:00,.543,.500,3.6,14.9,9.2,23.4,1.6,0.0,7.2,19.7,116,133,11.5,-2.9,Zion Williamson
2022-11-28,22-145,NOP,HOME,OKC,W (+4),1,35:19,.624,.611,6.3,15.4,11.3,45.2,1.4,7.6,17.8,25.9,119,101,21.5,10.5,Zion Williamson
2022-11-30,22-147,NOP,HOME,TOR,W (+18),1,37:26,.814,.800,9.9,20.9,15.6,21.7,4.9,5.1,16.5,26.5,144,92,34.4,15.2,Zion Williamson
2022-12-02,22-149,NOP,AWAY,SAS,W (+18),1,33:33,.761,.643,11.7,29.7,21.0,42.2,2.8,2.4,13.2,28.9,149,90,34.4,19.6,Zion Williamson
2022-12-04,22-151,NOP,HOME,DEN,W (+15),1,35:55,.572,.529,3.3,17.1,10.2,18.5,1.3,2.7,15.5,32.3,103,108,17.8,-0.3,Zion Williamson
2022-12-07,22-154,NOP,HOME,DET,W (+6),1,32:58,.696,.688,6.6,24.3,15.8,31.7,1.5,3.0,16.1,32.0,124,98,25.2,11.9,Zion Williamson
2022-12-09,22-156,NOP,HOME,PHO,W (+11),1,36:44,.785,.765,3.1,20.1,11.3,18.0,1.3,0.0,8.2,27.3,151,120,31.4,12.2,Zion Williamson
2022-12-11,22-158,NOP,HOME,PHO,W (+5),1,42:11,.727,.714,4.2,16.0,11.8,11.6,1.2,0.0,17.2,32.2,120,120,24.8,1.7,Zion Williamson
2022-12-13,22-160,NOP,AWAY,UTA,L (-21),1,25:41,.637,.625,10.2,23.9,16.5,51.0,3.6,0.0,16.4,36.6,112,108,21.4,14.1,Zion Williamson
2022-12-15,22-162,NOP,AWAY,UTA,L (-3),1,41:33,.563,.521,12.3,9.3,11.0,32.2,0.0,5.7,9.8,30.6,127,127,25.8,7.1,Zion Williamson
2022-12-17,22-164,NOP,AWAY,PHO,L (-4),1,39:04,.830,.800,0.0,8.8,5.2,36.5,0.0,2.9,24.9,30.0,134,129,24.2,6.0,Zion Williamson
2022-12-19,22-166,NOP,HOME,MIL,L (-9),1,40:08,.461,.438,6.8,13.7,9.5,24.9,3.5,0.0,20.4,23.5,95,121,13.8,-2.1,Zion Williamson
2022-12-28,22-175,NOP,HOME,MIN,W (+1),1,33:57,.732,.690,0.0,10.9,5.4,36.8,1.4,2.6,12.0,41.8,134,116,32.8,14.2,Zion Williamson
2022-12-30,22-177,NOP,HOME,PHI,W (+11),1,30:58,.691,.684,9.4,14.5,11.9,13.6,0.0,0.0,10.3,41.7,131,126,25.0,2.3,Zion Williamson
2022-12-31,22-178,NOP,AWAY,MEM,L (-15),1,28:17,.490,.375,9.4,23.1,15.6,7.8,0.0,0.0,30.6,39.6,75,111,4.8,-9.6,Zion Williamson
2023-01-02,22-180,NOP,AWAY,PHI,L (-9),1,28:10,.838,.833,0.0,22.2,12.2,47.8,0.0,0.0,24.4,31.8,131,125,22.1,12.0,Zion Williamson
