DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2021-02-11,19-265,DET,HOME,IND,L (-16),1,31:10,.860,.889,13.4,12.2,12.8,6.0,3.6,2.8,0.0,14.6,178,124,19.0,9.0,Isaiah Stewart
2021-02-12,19-266,DET,AWAY,BOS,W (+6),1,22:15,.727,.667,10.0,19.2,14.7,7.3,0.0,3.9,0.0,7.1,169,105,6.5,0.0,Isaiah Stewart
2021-02-14,19-268,DET,HOME,NOP,W (+11),0,17:31,.694,.500,7.8,29.8,20.3,0.0,0.0,14.9,41.0,12.9,92,110,3.3,-8.3,Isaiah Stewart
2021-02-17,19-271,DET,AWAY,CHI,L (-3),0,14:52,.000,.000,7.3,38.4,22.5,8.7,3.3,0.0,25.0,12.2,33,100,0.0,-9.1,Isaiah Stewart
2021-02-19,19-273,DET,AWAY,MEM,L (-14),0,13:57,.400,.400,28.1,7.6,18.3,0.0,0.0,0.0,28.6,21.4,78,120,2.0,-14.5,Isaiah Stewart
2021-02-21,19-275,DET,AWAY,ORL,L (-9),0,19:52,.400,.400,17.6,21.5,19.3,16.6,0.0,14.2,0.0,10.9,121,99,8.8,3.5,Isaiah Stewart
2021-02-23,19-277,DET,AWAY,ORL,W (+12),0,18:14,1.000,1.000,0.0,10.3,5.4,0.0,2.7,5.3,50.0,9.6,77,93,2.5,-6.1,Isaiah Stewart
2021-02-24,19-278,DET,AWAY,NOP,L (-10),0,18:09,.619,.625,12.6,51.6,31.9,0.0,5.3,3.9,10.1,24.0,115,110,11.3,0.1,Isaiah Stewart
2021-02-26,19-280,DET,HOME,SAC,L (-3),0,21:25,1.000,1.000,10.0,41.2,26.2,14.8,2.3,3.9,50.0,12.6,108,99,8.1,1.6,Isaiah Stewart
2021-02-28,19-282,DET,HOME,NYK,L (-19),0,27:50,.667,.667,8.2,35.4,21.3,0.0,1.9,5.7,40.0,8.6,89,110,6.1,-3.0,Isaiah Stewart
2021-03-03,19-285,DET,AWAY,TOR,W (+24),0,19:41,.600,.600,6.3,27.7,17.6,12.0,0.0,11.9,0.0,10.9,147,105,7.1,-1.2,Isaiah Stewart
2021-03-04,19-286,DET,AWAY,NYK,L (-10),0,20:14,.833,.833,5.8,20.3,12.5,8.7,0.0,0.0,0.0,14.4,170,128,9.7,3.7,Isaiah Stewart
2021-03-11,19-293,DET,AWAY,CHO,L (-3),0,22:40,1.167,1.167,9.6,24.9,17.8,13.4,2.3,0.0,0.0,6.0,235,107,11.3,9.6,Isaiah Stewart
2021-03-13,19-295,DET,AWAY,BRK,L (-5),0,19:34,.571,.571,17.5,31.5,24.2,0.0,5.2,13.9,11.3,19.8,110,88,11.2,6.4,Isaiah Stewart
2021-03-15,19-297,DET,HOME,SAS,L (-10),0,24:45,.625,.625,13.5,10.8,12.3,13.2,0.0,3.3,20.0,19.0,112,119,8.4,-3.4,Isaiah Stewart
2021-03-17,19-299,DET,HOME,TOR,W (+4),0,23:12,.740,.800,6.3,12.2,9.9,6.5,0.0,4.5,22.8,16.6,118,120,7.5,0.9,Isaiah Stewart
2021-03-19,19-301,DET,AWAY,HOU,W (+13),0,25:28,.597,.550,13.1,25.7,19.5,13.7,1.9,0.0,15.5,22.0,116,101,11.1,-0.1,Isaiah Stewart
2021-03-21,19-303,DET,HOME,CHI,L (-14),0,23:05,.688,.688,4.1,27.4,14.0,0.0,2.2,8.0,0.0,15.5,130,99,11.6,8.1,Isaiah Stewart
2021-03-24,19-306,DET,AWAY,IND,L (-5),0,18:36,.698,.714,8.3,32.9,23.2,0.0,0.0,4.1,0.0,19.1,138,115,10.9,2.3,Isaiah Stewart
2021-03-26,19-308,DET,HOME,BRK,L (-2),0,5:41,1.000,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,200,133,0.5,-9.3,Isaiah Stewart
2021-03-27,19-309,DET,AWAY,WAS,L (-14),0,21:28,.611,.611,14.0,26.0,19.7,10.2,0.0,3.2,10.0,19.9,116,103,9.9,3.4,Isaiah Stewart
2021-03-29,19-311,DET,HOME,TOR,W (+14),0,29:38,.799,.786,4.4,3.6,4.0,16.3,0.0,3.2,10.2,14.6,153,114,11.9,3.6,Isaiah Stewart
2021-03-31,19-313,DET,HOME,POR,L (-23),0,18:12,.500,.500,0.0,28.5,13.4,0.0,2.6,5.1,14.3,16.9,76,117,2.9,-5.7,Isaiah Stewart
2021-04-01,19-314,DET,HOME,WAS,W (+29),0,17:10,.286,.286,6.1,39.9,22.2,14.2,0.0,8.5,22.2,21.6,64,77,0.8,-12.1,Isaiah Stewart
2021-04-03,19-316,DET,HOME,NYK,L (-44),0,26:43,.286,.286,11.0,18.9,14.5,0.0,0.0,0.0,12.5,13.7,68,142,1.8,-13.5,Isaiah Stewart
2021-04-05,19-318,DET,AWAY,OKC,W (+24),1,21:43,.773,.667,5.3,22.1,14.4,0.0,2.1,12.6,11.4,16.2,144,93,14.0,4.9,Isaiah Stewart
2021-04-06,19-319,DET,AWAY,DEN,L (-15),0,27:41,.765,.800,13.7,24.1,18.7,9.4,0.0,0.0,0.0,9.9,174,143,10.9,-0.2,Isaiah Stewart
2021-04-08,19-321,DET,AWAY,SAC,W (+12),1,32:49,.766,.800,15.0,31.3,23.5,18.1,1.5,2.6,22.3,18.1,130,97,18.0,7.9,Isaiah Stewart
2021-04-10,19-323,DET,AWAY,POR,L (-15),0,20:45,.296,.200,5.3,5.4,5.3,0.0,0.0,3.8,0.0,14.7,74,128,1.0,-13.8,Isaiah Stewart
2021-04-11,19-324,DET,AWAY,LAC,L (-7),0,20:49,1.167,1.167,11.0,35.5,20.3,11.8,0.0,0.0,25.0,8.6,172,142,8.3,1.2,Isaiah Stewart
2021-04-14,19-327,DET,HOME,LAC,L (-2),0,21:40,.806,.857,15.5,22.2,19.1,0.0,2.3,3.5,11.8,16.9,142,97,11.4,6.4,Isaiah Stewart
2021-04-16,19-329,DET,HOME,OKC,W (+6),1,31:43,.582,.583,25.7,31.9,28.9,16.6,0.0,5.2,7.2,17.1,134,92,19.8,2.9,Isaiah Stewart
2021-04-17,19-330,DET,AWAY,WAS,L (-21),0,24:20,.696,.682,12.6,38.6,25.5,8.5,0.0,5.1,6.8,25.8,136,113,18.4,9.6,Isaiah Stewart
2021-04-19,19-332,DET,HOME,CLE,W (+4),1,31:30,.699,.667,22.9,35.4,29.4,0.0,4.6,7.6,13.4,20.2,131,90,21.5,6.8,Isaiah Stewart
2021-04-21,19-334,DET,AWAY,DAL,L (-10),0,15:55,.509,.500,7.7,32.8,21.3,19.5,3.1,0.0,12.7,22.5,104,121,6.0,-2.5,Isaiah Stewart
2021-04-22,19-335,DET,AWAY,SAS,L (-15),1,28:02,.581,.500,20.9,30.4,25.9,0.0,0.0,6.1,30.4,16.3,100,109,8.1,-4.8,Isaiah Stewart
2021-04-24,19-337,DET,AWAY,IND,L (-6),0,19:04,.658,.611,16.8,9.0,12.5,0.0,0.0,7.9,0.0,19.8,146,108,11.2,5.1,Isaiah Stewart
2021-04-26,19-339,DET,HOME,ATL,W (+14),0,27:05,.333,.333,12.1,29.5,21.2,4.9,1.8,12.2,25.0,13.6,76,78,5.6,-3.9,Isaiah Stewart
2021-04-29,19-342,DET,HOME,DAL,L (-10),1,29:15,.714,.714,16.4,26.1,22.2,0.0,1.7,8.3,0.0,22.1,137,108,19.5,6.5,Isaiah Stewart
2021-05-01,19-344,DET,AWAY,CHO,L (-13),1,26:41,.615,.500,0.0,8.0,3.7,0.0,1.9,10.8,21.5,15.5,94,109,6.1,-7.5,Isaiah Stewart
2021-05-03,19-346,DET,HOME,ORL,L (-7),1,31:33,.460,.400,8.9,19.5,13.5,4.0,1.6,7.0,8.4,16.1,104,116,9.4,-7.2,Isaiah Stewart
2021-05-04,19-347,DET,HOME,CHO,L (-3),1,26:21,.255,.200,8.1,17.5,13.1,0.0,0.0,2.9,14.5,11.7,64,108,0.9,-11.9,Isaiah Stewart
2021-05-06,19-349,DET,HOME,MEM,W (+14),1,30:51,.490,.429,4.4,20.3,13.4,4.5,1.6,9.0,6.1,25.4,99,97,11.3,-4.1,Isaiah Stewart
2021-05-08,19-351,DET,AWAY,PHI,L (-14),0,20:10,.580,.500,5.3,27.7,16.2,0.0,2.5,8.8,11.4,19.5,111,112,7.2,-0.3,Isaiah Stewart
2021-05-09,19-352,DET,HOME,CHI,L (-12),1,32:29,.644,.654,3.4,24.0,12.9,17.3,0.0,5.7,0.0,21.5,131,113,17.5,8.9,Isaiah Stewart
2021-05-11,19-354,DET,HOME,MIN,L (-19),1,32:35,.458,.458,7.6,17.3,13.1,10.7,2.7,0.0,14.3,18.0,89,108,8.0,-4.2,Isaiah Stewart
2021-10-20,20-151,DET,HOME,CHI,L (-6),1,25:50,.667,.667,7.4,24.8,15.6,0.0,0.0,2.9,18.2,18.3,108,96,9.6,1.1,Isaiah Stewart
2021-10-23,20-154,DET,AWAY,CHI,L (-15),1,24:16,.429,.429,11.9,39.6,25.0,0.0,0.0,0.0,12.5,13.8,89,102,5.7,-4.0,Isaiah Stewart
2021-10-25,20-156,DET,AWAY,ATL,L (-18),1,28:56,.689,.667,10.0,19.0,13.7,27.6,1.7,8.6,17.5,16.8,129,118,15.8,6.9,Isaiah Stewart
2021-10-28,20-159,DET,AWAY,PHI,L (-8),1,17:59,.400,.400,5.3,16.2,9.6,27.0,0.0,5.4,16.7,14.6,94,115,3.2,-4.3,Isaiah Stewart
2021-10-30,20-161,DET,HOME,ORL,W (+7),1,21:23,.619,.625,13.2,26.1,19.1,0.0,4.7,4.1,18.4,21.2,105,98,10.5,-1.8,Isaiah Stewart
2021-10-31,20-162,DET,AWAY,BRK,L (-26),1,18:07,.625,.625,0.0,11.0,3.8,0.0,0.0,0.0,0.0,10.2,115,130,2.9,-6.6,Isaiah Stewart
2021-11-02,20-164,DET,HOME,MIL,L (-28),1,24:26,.363,.333,13.8,20.7,16.5,0.0,0.0,8.4,22.5,14.5,73,116,3.4,-10.3,Isaiah Stewart
2021-11-04,20-166,DET,HOME,PHI,L (-11),1,31:03,.600,.600,0.0,24.6,12.0,10.2,1.7,3.0,0.0,7.3,134,115,7.7,-0.1,Isaiah Stewart
2021-11-05,20-167,DET,HOME,BRK,L (-6),1,22:36,.800,.800,4.4,41.4,21.5,0.0,2.2,8.0,0.0,9.8,159,90,10.0,5.3,Isaiah Stewart
2021-11-10,20-172,DET,AWAY,HOU,W (+8),1,14:54,.667,.667,19.3,39.3,28.3,9.1,3.3,6.7,0.0,8.1,168,91,6.7,3.0,Isaiah Stewart
2021-11-12,20-174,DET,AWAY,CLE,L (-20),1,24:13,.200,.200,4.7,29.0,16.7,0.0,0.0,9.7,16.7,11.0,43,101,0.6,-11.0,Isaiah Stewart
2021-11-13,20-175,DET,AWAY,TOR,W (+6),1,32:29,.842,.818,4.5,11.1,8.1,14.9,0.0,5.6,7.8,18.1,160,130,19.2,4.4,Isaiah Stewart
2021-11-15,20-177,DET,HOME,SAC,L (-22),1,27:22,.364,.364,23.6,33.4,28.0,5.5,0.0,0.0,0.0,16.0,110,126,9.9,-6.8,Isaiah Stewart
2021-11-17,20-179,DET,HOME,IND,W (+8),1,31:40,.554,.400,10.3,29.6,19.6,9.8,0.0,7.2,13.7,10.6,122,94,8.6,-1.2,Isaiah Stewart
2021-11-19,20-181,DET,HOME,GSW,L (-3),1,15:31,.500,.500,13.7,16.3,14.9,0.0,0.0,0.0,33.3,8.8,93,122,2.0,-10.7,Isaiah Stewart
2021-11-21,20-183,DET,HOME,LAL,L (-5),1,18:35,.500,.500,5.5,0.0,2.9,6.8,0.0,4.2,20.0,11.0,94,122,2.3,-8.2,Isaiah Stewart
2021-11-23,20-185,DET,HOME,MIA,L (-8),Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Isaiah Stewart
2021-11-24,20-186,DET,AWAY,MIL,L (-21),Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Isaiah Stewart
2021-11-26,20-188,DET,AWAY,LAC,L (-11),1,27:10,.291,.333,6.3,35.3,20.0,0.0,1.8,3.3,22.5,13.5,56,99,2.7,-8.7,Isaiah Stewart
2021-11-28,20-190,DET,AWAY,LAL,L (-4),1,26:55,.317,.286,7.4,15.2,11.3,5.2,0.0,3.3,27.6,17.0,61,110,1.5,-11.5,Isaiah Stewart
2021-11-30,20-192,DET,AWAY,POR,L (-18),1,32:55,.788,.667,21.9,24.3,23.2,6.3,0.0,2.7,9.5,14.3,161,110,17.4,3.1,Isaiah Stewart
2021-12-02,20-194,DET,AWAY,PHO,L (-11),1,35:19,.806,.857,12.1,38.8,23.8,9.8,0.0,2.3,0.0,9.8,174,119,15.4,3.4,Isaiah Stewart
2021-12-06,20-198,DET,HOME,OKC,L (-11),1,29:06,.667,.667,9.9,23.6,16.1,4.4,1.7,8.7,25.0,5.6,125,109,8.2,-1.7,Isaiah Stewart
2021-12-08,20-200,DET,HOME,WAS,L (-3),1,29:34,.799,.833,13.8,29.2,21.9,19.2,1.8,3.2,22.5,14.6,138,112,12.4,3.0,Isaiah Stewart
2021-12-10,20-202,DET,AWAY,NOP,L (-16),1,20:59,.500,.500,4.4,19.9,11.7,7.5,0.0,3.9,0.0,8.5,115,112,4.5,-4.5,Isaiah Stewart
2021-12-12,20-204,DET,HOME,BRK,L (-12),1,39:59,.418,.333,8.4,21.0,14.5,3.4,2.3,2.0,8.5,11.9,95,109,8.5,-5.7,Isaiah Stewart
2021-12-16,20-208,DET,AWAY,IND,L (-9),1,26:04,.467,.286,14.2,28.3,21.2,0.0,0.0,0.0,23.7,21.9,88,125,4.2,-13.8,Isaiah Stewart
2021-12-18,20-210,DET,HOME,HOU,L (-9),1,20:15,.810,.778,19.3,23.7,21.3,9.0,0.0,4.3,28.8,27.4,113,112,12.3,-0.1,Isaiah Stewart
2021-12-19,20-211,DET,HOME,MIA,W (+10),1,29:34,.486,.500,13.2,36.4,26.4,5.1,0.0,0.0,12.2,13.2,105,93,6.2,-2.6,Isaiah Stewart
2021-12-21,20-213,DET,AWAY,NYK,L (-14),1,31:21,.402,.333,15.6,18.0,16.8,5.2,1.6,2.7,8.2,16.3,95,106,8.6,-4.6,Isaiah Stewart
2022-01-06,20-229,DET,AWAY,MEM,L (-30),1,20:10,.500,.500,18.0,20.3,19.0,0.0,0.0,7.2,0.0,12.3,118,111,7.2,-3.5,Isaiah Stewart
2022-01-08,20-231,DET,HOME,ORL,W (+5),1,20:05,.551,.600,0.0,38.2,20.6,7.8,0.0,12.0,26.9,16.8,77,86,5.0,-2.6,Isaiah Stewart
2022-01-10,20-233,DET,HOME,UTA,W (+10),1,22:24,.429,.429,5.5,26.8,16.3,0.0,0.0,12.1,22.2,17.6,73,113,3.4,-12.1,Isaiah Stewart
2022-01-11,20-234,DET,AWAY,CHI,L (-46),1,28:10,.564,.500,13.7,8.5,11.7,14.7,0.0,11.8,17.0,16.9,110,131,12.1,-0.2,Isaiah Stewart
2022-01-14,20-237,DET,HOME,TOR,W (+16),1,14:37,.568,,0.0,6.6,3.7,8.6,0.0,13.4,77.3,12.9,37,103,-1.6,-12.5,Isaiah Stewart
2022-01-16,20-239,DET,HOME,PHO,L (-27),1,22:41,.296,.250,14.1,16.7,15.3,12.5,2.1,0.0,19.2,20.8,75,132,2.8,-12.5,Isaiah Stewart
2022-01-18,20-241,DET,AWAY,GSW,L (-16),1,27:55,.700,.700,16.5,19.8,18.2,0.0,0.0,4.2,9.1,17.0,130,106,14.0,5.1,Isaiah Stewart
2022-01-19,20-242,DET,AWAY,SAC,W (+2),1,21:16,.444,.429,16.9,18.8,17.8,23.0,0.0,4.0,20.2,19.9,109,133,5.8,-7.3,Isaiah Stewart
2022-01-21,20-244,DET,AWAY,UTA,L (-10),1,24:39,.444,.444,12.7,30.7,20.9,6.4,0.0,0.0,0.0,16.8,110,120,6.3,-6.9,Isaiah Stewart
2022-01-23,20-246,DET,AWAY,DEN,L (-6),1,26:42,1.066,1.063,0.0,14.2,7.9,6.5,0.0,0.0,19.2,17.8,155,123,12.8,3.7,Isaiah Stewart
2022-01-25,20-248,DET,HOME,DEN,L (-5),1,25:19,.000,.000,0.0,17.6,8.2,4.6,1.9,0.0,40.0,8.5,12,109,-3.2,-16.7,Isaiah Stewart
2022-01-28,20-251,DET,AWAY,ORL,L (-16),1,25:10,.375,.375,14.4,21.8,17.3,7.3,0.0,3.3,0.0,13.5,105,126,5.8,-9.9,Isaiah Stewart
2022-01-30,20-253,DET,HOME,CLE,W (+10),1,31:10,.563,.583,24.0,17.5,20.8,4.9,0.0,0.0,7.4,18.6,128,120,13.7,-2.4,Isaiah Stewart
2022-02-01,20-255,DET,HOME,NOP,L (-10),1,28:40,.680,.600,18.6,26.0,22.7,4.7,0.0,2.7,14.5,10.7,138,111,9.0,-0.9,Isaiah Stewart
2022-02-03,20-257,DET,HOME,MIN,L (-11),1,31:59,.556,.556,16.3,29.3,22.4,4.6,0.0,0.0,10.0,12.7,123,126,10.5,-4.3,Isaiah Stewart
2022-02-04,20-258,DET,HOME,BOS,L (-9),1,32:48,.273,.273,18.3,28.0,22.4,0.0,0.0,0.0,21.4,16.5,67,105,3.6,-11.3,Isaiah Stewart
2022-02-06,20-260,DET,AWAY,MIN,L (-13),1,32:52,.300,.286,21.6,13.3,17.9,3.9,0.0,10.6,19.4,13.3,90,121,7.6,-8.9,Isaiah Stewart
2022-02-08,20-262,DET,AWAY,DAL,L (-30),1,29:13,.678,.667,15.2,43.2,26.8,7.1,1.7,0.0,0.0,15.2,148,117,16.7,6.8,Isaiah Stewart
2022-02-10,20-264,DET,HOME,MEM,L (-25),1,17:26,.714,.714,10.6,0.0,5.5,20.2,2.7,8.9,0.0,17.2,151,127,10.3,7.6,Isaiah Stewart
2022-02-11,20-265,DET,HOME,CHO,L (-22),1,30:25,.504,.500,15.2,25.1,19.7,4.3,0.0,5.7,11.8,20.8,104,129,12.5,-6.7,Isaiah Stewart
2022-02-14,20-268,DET,AWAY,WAS,L (-9),1,27:25,.590,.500,14.6,21.4,17.7,0.0,0.0,0.0,9.7,16.7,123,113,9.9,-3.0,Isaiah Stewart
2022-02-16,20-270,DET,AWAY,BOS,W (+1),1,29:27,.600,.600,10.6,15.8,12.7,9.8,1.7,3.6,0.0,14.2,146,114,12.3,1.5,Isaiah Stewart
2022-02-24,20-278,DET,HOME,CLE,W (+3),1,19:29,.799,.750,25.7,16.8,21.4,0.0,0.0,5.9,0.0,15.6,177,112,11.9,4.5,Isaiah Stewart
2022-02-26,20-280,DET,HOME,BOS,L (-9),1,29:51,.436,.333,17.4,23.5,20.6,0.0,0.0,2.6,16.2,17.9,94,118,7.2,-4.8,Isaiah Stewart
2022-02-27,20-281,DET,AWAY,CHO,W (+1),1,28:50,.354,.333,19.7,20.9,20.2,8.3,1.7,6.3,0.0,13.8,118,113,9.0,-3.8,Isaiah Stewart
2022-03-01,20-283,DET,AWAY,WAS,L (-3),1,27:13,.418,.333,20.0,17.2,18.7,4.7,1.9,3.1,8.5,18.5,108,120,8.0,-7.9,Isaiah Stewart
2022-03-03,20-285,DET,AWAY,TOR,W (+2),1,29:52,.714,.714,16.9,14.3,15.5,5.4,0.0,5.6,22.2,13.7,123,116,9.2,-2.4,Isaiah Stewart
2022-03-04,20-286,DET,HOME,IND,W (+5),1,27:15,.538,.571,23.3,19.6,21.4,10.1,0.0,2.9,28.7,16.0,105,108,8.1,-7.0,Isaiah Stewart
2022-03-07,20-289,DET,HOME,ATL,W (+3),1,9:30,.000,.000,11.2,12.4,11.7,0.0,0.0,0.0,0.0,4.8,67,116,-0.1,-11.8,Isaiah Stewart
2022-03-15,20-297,DET,AWAY,MIA,L (-7),1,21:46,.170,.000,10.3,33.1,21.3,6.0,0.0,11.3,25.4,17.1,51,108,-0.2,-13.8,Isaiah Stewart
2022-03-17,20-299,DET,AWAY,ORL,W (+14),1,29:53,.707,.700,10.7,25.0,17.8,4.5,1.5,0.0,0.0,15.9,153,115,16.9,-0.4,Isaiah Stewart
2022-03-19,20-301,DET,AWAY,CLE,L (-4),1,22:17,.667,.667,10.3,53.9,31.5,0.0,0.0,0.0,14.3,13.9,120,111,7.2,-5.2,Isaiah Stewart
2022-03-21,20-303,DET,HOME,POR,L (-4),1,31:21,.515,.333,14.6,26.0,21.0,4.6,0.0,5.1,20.5,12.3,109,113,8.6,-5.2,Isaiah Stewart
2022-03-23,20-305,DET,HOME,ATL,W (+21),1,22:50,.571,.571,10.5,31.1,22.4,0.0,2.1,4.4,22.2,16.6,94,93,7.4,-4.0,Isaiah Stewart
2022-03-25,20-307,DET,HOME,WAS,L (-3),1,25:09,.676,.625,7.6,26.6,16.4,6.5,0.0,3.6,18.4,17.9,116,99,9.4,-0.5,Isaiah Stewart
2022-03-27,20-309,DET,HOME,NYK,L (-2),1,37:12,.833,.833,11.0,18.9,14.7,11.4,1.4,2.9,0.0,7.5,179,113,15.0,5.8,Isaiah Stewart
2022-03-29,20-311,DET,AWAY,BRK,L (-7),1,31:08,.540,.538,18.9,19.9,19.3,8.0,0.0,6.4,12.6,21.0,119,133,12.1,-5.5,Isaiah Stewart
2022-03-31,20-313,DET,HOME,PHI,W (+8),1,27:01,.000,.000,8.9,48.0,27.7,13.0,0.0,0.0,20.0,9.1,61,107,1.5,-8.7,Isaiah Stewart
2022-04-01,20-314,DET,AWAY,OKC,W (+9),1,6:09,1.000,1.000,0.0,32.5,15.9,24.2,0.0,0.0,0.0,7.1,211,102,2.6,3.9,Isaiah Stewart
2022-04-03,20-316,DET,AWAY,IND,W (+4),1,21:32,.500,.500,8.7,29.7,18.6,5.8,0.0,4.0,16.7,11.3,103,111,4.7,-7.0,Isaiah Stewart
2022-04-06,20-319,DET,HOME,DAL,L (-18),1,28:26,.644,.577,23.0,34.6,28.5,6.8,0.0,3.6,6.3,24.8,137,137,17.7,0.9,Isaiah Stewart
2022-04-08,20-321,DET,HOME,MIL,L (-30),1,26:31,.363,.250,18.1,28.8,23.1,21.8,0.0,5.7,0.0,11.2,123,124,9.8,-0.3,Isaiah Stewart
2022-04-10,20-323,DET,AWAY,PHI,L (-12),1,13:13,1.250,1.250,7.7,49.1,25.9,30.9,0.0,0.0,0.0,12.7,243,118,12.0,24.2,Isaiah Stewart
2022-10-19,21-150,DET,HOME,ORL,W (+4),1,26:18,.735,.583,0.0,23.4,10.3,15.9,3.6,0.0,0.0,14.9,163,105,15.4,8.3,Isaiah Stewart
2022-10-21,21-152,DET,AWAY,NYK,L (-24),1,30:20,.372,.389,6.1,26.9,16.0,4.6,1.5,2.8,8.5,15.6,81,119,5.7,-6.6,Isaiah Stewart
2022-10-22,21-153,DET,AWAY,IND,L (-9),1,29:33,.382,.250,17.4,31.9,24.7,9.6,0.0,0.0,12.2,22.0,97,115,8.1,-10.0,Isaiah Stewart
