DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2022-12-04,27-251,BOS,AWAY,BRK,W (+11),0,1:43,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-5,Justin Jackson
2022-12-07,27-254,BOS,AWAY,PHO,W (+27),0,10:06,0,3,.000,0,2,.000,0,0,,0,1,1,2,0,0,0,0,0,-0.4,-10,Justin Jackson
2022-12-10,27-257,BOS,AWAY,GSW,L (-16),0,1:52,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2,Justin Jackson
2022-12-12,27-259,BOS,AWAY,LAC,L (-20),0,3:16,0,0,,0,0,,0,0,,0,1,1,0,0,1,1,0,0,0.0,+1,Justin Jackson
2022-12-23,27-270,BOS,HOME,MIN,W (+12),0,1:12,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,-4,Justin Jackson
2022-12-27,27-274,BOS,HOME,HOU,W (+24),0,2:40,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,1,3,2.3,+3,Justin Jackson
2023-01-01,27-279,BOS,AWAY,DEN,L (-12),0,2:05,0,1,.000,0,0,,0,0,,0,0,0,2,1,0,0,0,0,1.7,+2,Justin Jackson
2023-01-03,27-281,BOS,AWAY,OKC,L (-33),0,6:02,1,3,.333,1,2,.500,1,2,.500,1,0,1,1,0,1,0,0,4,4.0,-1,Justin Jackson
2023-01-05,27-283,BOS,AWAY,DAL,W (+29),0,2:43,1,2,.500,0,0,,0,0,,0,0,0,1,1,1,0,1,2,3.0,+1,Justin Jackson
2023-01-11,27-289,BOS,HOME,NOP,W (+11),0,2:43,0,1,.000,0,1,.000,0,0,,1,0,1,0,0,0,0,0,0,0.0,-8,Justin Jackson
2023-01-14,27-292,BOS,AWAY,CHO,W (+16),0,3:53,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-2,Justin Jackson
2023-01-23,27-301,BOS,AWAY,ORL,L (-15),0,1:25,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3,Justin Jackson
2023-01-24,27-302,BOS,AWAY,MIA,L (-3),0,14:11,1,3,.333,1,3,.333,0,0,,0,5,5,0,0,0,0,1,3,2.4,-5,Justin Jackson
2023-02-01,27-310,BOS,HOME,BRK,W (+43),0,8:09,1,2,.500,0,1,.000,0,0,,0,3,3,1,0,0,0,0,2,2.6,-1,Justin Jackson
2023-02-03,27-312,BOS,HOME,PHO,L (-12),0,0:44,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,Justin Jackson
2020-12-29,25-276,OKC,HOME,ORL,L (-11),1,29:10,3,6,.500,0,3,.000,2,2,1.000,0,2,2,3,0,0,4,0,8,3.7,-10,Justin Jackson
2021-01-04,25-282,OKC,AWAY,MIA,L (-28),0,18:58,2,7,.286,0,5,.000,2,2,1.000,1,6,7,0,1,0,1,3,6,3.2,-19,Justin Jackson
2021-01-12,25-290,OKC,HOME,SAS,L (-10),0,4:11,2,4,.500,1,2,.500,0,0,,0,0,0,0,0,0,0,0,5,3.0,-1,Justin Jackson
2021-01-13,25-291,OKC,HOME,LAL,L (-29),0,5:10,0,2,.000,0,2,.000,1,2,.500,0,0,0,0,0,0,0,0,1,-0.8,-4,Justin Jackson
2021-01-19,25-297,OKC,AWAY,DEN,L (-18),0,7:20,3,3,1.000,2,2,1.000,1,2,.500,0,2,2,0,1,0,0,1,9,8.9,+8,Justin Jackson
2021-01-25,25-303,OKC,AWAY,POR,W (+3),0,16:02,2,5,.400,0,2,.000,2,2,1.000,1,1,2,3,0,0,0,1,6,6.0,+1,Justin Jackson
2021-01-27,25-305,OKC,AWAY,PHO,W (+5),0,6:37,0,1,.000,0,1,.000,0,0,,0,2,2,1,0,0,0,1,0,0.2,+3,Justin Jackson
2021-01-29,25-307,OKC,HOME,BRK,L (-22),0,4:44,2,6,.333,0,1,.000,0,0,,1,2,3,1,0,0,0,0,4,2.6,+1,Justin Jackson
2021-02-01,25-310,OKC,HOME,HOU,L (-30),0,10:31,3,6,.500,2,5,.400,2,2,1.000,0,2,2,1,0,0,0,1,10,7.9,0,Justin Jackson
2021-02-03,25-312,OKC,HOME,HOU,W (+17),0,29:47,2,9,.222,0,5,.000,0,0,,1,4,5,2,0,0,1,3,4,-0.4,+11,Justin Jackson
2021-02-05,25-314,OKC,HOME,MIN,L (-3),0,30:08,3,9,.333,1,4,.250,0,0,,0,4,4,2,1,0,1,1,7,4.1,-12,Justin Jackson
2021-02-06,25-315,OKC,HOME,MIN,W (+2),0,19:29,2,4,.500,2,3,.667,0,0,,0,1,1,2,0,0,2,1,6,3.3,+7,Justin Jackson
2021-02-08,25-317,OKC,AWAY,LAL,L (-7),0,26:49,6,10,.600,2,4,.500,0,1,.000,0,4,4,2,0,0,1,2,14,9.8,-4,Justin Jackson
2021-02-10,25-319,OKC,AWAY,LAL,L (-1),0,27:17,4,9,.444,1,5,.200,0,0,,0,1,1,4,1,0,0,3,9,7.2,+2,Justin Jackson
2021-02-12,25-321,OKC,AWAY,DEN,L (-2),0,27:52,7,11,.636,3,5,.600,3,3,1.000,2,1,3,3,2,0,2,2,20,18.1,+2,Justin Jackson
2021-02-14,25-323,OKC,HOME,MIL,W (+5),1,33:52,9,16,.563,4,4,1.000,0,0,,1,2,3,5,1,0,1,0,22,19.2,0,Justin Jackson
2021-02-16,25-325,OKC,HOME,POR,L (-11),0,16:04,2,6,.333,2,4,.500,0,0,,0,0,0,3,0,0,1,1,6,3.3,-1,Justin Jackson
2021-02-17,25-326,OKC,AWAY,MEM,L (-9),0,9:57,1,2,.500,1,2,.500,1,2,.500,1,1,2,1,0,1,4,1,4,0.6,-3,Justin Jackson
2021-02-19,25-328,OKC,AWAY,MIL,L (-13),0,6:02,1,2,.500,0,1,.000,0,0,,0,2,2,0,0,0,1,0,2,0.6,-8,Justin Jackson
2021-02-22,25-331,OKC,HOME,MIA,L (-14),0,15:28,2,8,.250,0,3,.000,2,2,1.000,0,1,1,0,1,0,0,3,6,1.3,-6,Justin Jackson
2021-02-24,25-333,OKC,HOME,SAS,W (+3),0,13:16,2,6,.333,1,3,.333,0,0,,0,3,3,3,0,0,2,0,5,2.6,-2,Justin Jackson
2021-02-26,25-335,OKC,HOME,ATL,W (+9),0,13:41,1,4,.250,1,4,.250,0,0,,0,1,1,1,0,0,0,0,3,1.6,0,Justin Jackson
2021-02-27,25-336,OKC,HOME,DEN,L (-30),0,13:45,1,5,.200,0,4,.000,0,0,,2,1,3,0,1,0,0,0,2,1.6,+3,Justin Jackson
2021-03-03,25-340,OKC,AWAY,DAL,L (-9),0,7:17,0,4,.000,0,2,.000,0,0,,0,2,2,1,0,0,0,0,0,-1.5,+4,Justin Jackson
2021-03-04,25-341,OKC,AWAY,SAS,W (+5),0,11:31,1,4,.250,0,3,.000,0,0,,1,2,3,0,1,0,3,0,2,-1.1,-15,Justin Jackson
2021-03-13,25-350,OKC,HOME,NYK,L (-22),0,16:31,3,7,.429,2,5,.400,2,2,1.000,0,1,1,1,0,1,1,0,10,7.0,-14,Justin Jackson
2021-03-14,25-351,OKC,HOME,MEM,W (+6),1,21:27,1,5,.200,1,3,.333,1,2,.500,1,3,4,2,1,0,2,2,4,1.7,-3,Justin Jackson
2021-03-16,25-353,OKC,AWAY,CHI,L (-21),0,22:17,4,10,.400,0,2,.000,2,2,1.000,0,2,2,0,1,0,1,1,10,4.8,+13,Justin Jackson
2021-03-21,25-358,OKC,AWAY,HOU,W (+2),0,13:00,5,6,.833,2,3,.667,3,3,1.000,0,0,0,1,0,0,1,2,15,11.7,-2,Justin Jackson
2021-03-22,25-359,OKC,AWAY,MIN,W (+9),0,13:02,2,5,.400,1,3,.333,4,4,1.000,0,0,0,4,1,0,0,0,9,10.1,+11,Justin Jackson
2021-03-31,26-003,OKC,HOME,TOR,W (+10),0,24:05,5,14,.357,2,6,.333,0,0,,2,2,4,3,1,0,1,1,12,7.9,+9,Justin Jackson
2021-04-02,26-005,OKC,AWAY,PHO,L (-37),0,12:00,5,8,.625,3,5,.600,2,2,1.000,0,1,1,1,0,0,1,0,15,11.4,-10,Justin Jackson
2021-04-03,26-006,OKC,AWAY,POR,L (-48),0,16:53,0,8,.000,0,5,.000,0,0,,0,1,1,1,1,0,0,1,0,-4.0,-7,Justin Jackson
2021-05-16,26-049,MIL,AWAY,CHI,L (-6),0,32:37,3,9,.333,2,6,.333,1,2,.500,2,4,6,1,0,0,1,1,9,5.4,+4,Justin Jackson
2021-12-22,26-269,BOS,HOME,CLE,W (+10),0,1:57,0,1,.000,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,2,1.3,-5,Justin Jackson
2022-01-04,26-282,PHO,AWAY,NOP,W (+13),0,8:27,0,1,.000,0,1,.000,0,0,,0,2,2,0,0,0,1,1,0,-1.5,-7,Justin Jackson
2022-01-06,26-284,PHO,HOME,LAC,W (+17),0,5:51,3,4,.750,2,3,.667,0,0,,0,2,2,0,0,0,0,1,8,6.6,+18,Justin Jackson
2022-01-08,26-286,PHO,HOME,MIA,L (-23),0,9:06,2,2,1.000,1,1,1.000,0,0,,1,1,2,0,0,0,0,0,5,5.4,+4,Justin Jackson
2022-02-01,26-310,PHO,HOME,BRK,W (+10),0,1:22,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2,Justin Jackson
2022-02-05,26-314,PHO,AWAY,WAS,W (+15),0,8:33,0,5,.000,0,3,.000,0,0,,0,0,0,2,0,0,0,1,0,-2.5,-13,Justin Jackson
2022-02-07,26-316,PHO,AWAY,CHI,W (+3),0,1:12,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-1.1,-8,Justin Jackson
2019-10-23,24-209,DAL,HOME,WAS,W (+8),0,18:38,4,6,.667,0,2,.000,2,2,1.000,0,4,4,2,0,0,0,1,10,9.6,+10,Justin Jackson
2019-10-25,24-211,DAL,AWAY,NOP,W (+7),0,13:07,2,5,.400,1,2,.500,2,2,1.000,0,1,1,0,0,0,2,1,7,2.2,-3,Justin Jackson
2019-10-27,24-213,DAL,HOME,POR,L (-2),0,18:11,1,6,.167,0,2,.000,1,2,.500,2,3,5,0,0,0,0,1,3,0.7,-9,Justin Jackson
2019-10-29,24-215,DAL,AWAY,DEN,W (+3),0,19:16,4,4,1.000,2,2,1.000,0,0,,0,0,0,1,0,0,0,0,10,9.5,-3,Justin Jackson
2019-11-01,24-218,DAL,HOME,LAL,L (-9),0,2:06,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-4,Justin Jackson
2019-11-03,24-220,DAL,AWAY,CLE,W (+20),0,5:41,1,2,.500,1,2,.500,0,0,,0,1,1,0,1,0,0,0,3,3.3,-1,Justin Jackson
2019-11-06,24-223,DAL,HOME,ORL,W (+1),0,16:40,4,6,.667,1,2,.500,2,2,1.000,1,5,6,0,0,0,2,5,11,6.6,+3,Justin Jackson
2019-11-08,24-225,DAL,HOME,NYK,L (-4),0,7:38,1,5,.200,1,2,.500,0,0,,1,1,2,0,0,0,0,0,3,0.9,-13,Justin Jackson
2019-11-09,24-226,DAL,AWAY,MEM,W (+16),0,25:27,6,10,.600,4,7,.571,1,2,.500,2,2,4,0,0,0,0,1,17,13.6,+13,Justin Jackson
2019-11-11,24-228,DAL,AWAY,BOS,L (-10),0,7:36,0,2,.000,0,1,.000,0,0,,0,2,2,0,0,0,0,0,0,-0.8,-5,Justin Jackson
2019-11-16,24-233,DAL,HOME,TOR,W (+8),0,4:52,1,4,.250,0,2,.000,0,0,,0,1,1,0,0,0,0,1,2,-0.5,-6,Justin Jackson
2019-11-18,24-235,DAL,HOME,SAS,W (+7),0,4:38,1,3,.333,1,2,.500,0,0,,0,0,0,1,0,0,0,0,3,2.0,-3,Justin Jackson
2019-11-20,24-237,DAL,HOME,GSW,W (+48),0,29:26,3,7,.429,1,4,.250,0,0,,0,2,2,2,0,2,0,3,7,5.5,+14,Justin Jackson
2019-11-22,24-239,DAL,HOME,CLE,W (+42),0,23:28,7,11,.636,4,6,.667,1,1,1.000,1,5,6,0,1,0,0,3,19,16.1,+26,Justin Jackson
2019-11-24,24-241,DAL,AWAY,HOU,W (+14),0,9:55,1,4,.250,1,2,.500,0,0,,0,2,2,0,0,0,0,1,3,0.8,+5,Justin Jackson
2019-11-26,24-243,DAL,HOME,LAC,L (-15),0,2:08,0,0,,0,0,,0,0,,0,4,4,0,0,0,0,0,0,1.2,+7,Justin Jackson
2019-11-29,24-246,DAL,AWAY,PHO,W (+7),0,12:24,2,3,.667,1,2,.500,0,0,,0,2,2,1,1,0,0,2,5,5.2,+8,Justin Jackson
2019-12-01,24-248,DAL,AWAY,LAL,W (+14),0,15:26,6,10,.600,3,5,.600,0,0,,0,1,1,0,0,0,0,0,15,10.7,+5,Justin Jackson
2019-12-03,24-250,DAL,AWAY,NOP,W (+21),0,16:30,2,6,.333,1,4,.250,0,0,,1,2,3,0,1,0,0,1,5,3.5,+1,Justin Jackson
2019-12-04,24-251,DAL,HOME,MIN,W (+7),0,15:03,2,7,.286,1,3,.333,0,0,,1,4,5,0,0,0,0,1,5,2.4,+19,Justin Jackson
2019-12-07,24-254,DAL,HOME,NOP,W (+46),0,28:09,3,8,.375,0,3,.000,1,2,.500,0,3,3,2,1,0,0,0,7,5.5,+18,Justin Jackson
2019-12-08,24-255,DAL,HOME,SAC,L (-4),0,14:00,3,7,.429,0,3,.000,0,0,,0,1,1,0,0,0,0,2,6,1.8,-9,Justin Jackson
2019-12-12,24-259,DAL,AWAY,DET,W (+11),0,20:38,1,6,.167,0,2,.000,0,0,,1,1,2,1,0,0,0,3,2,-1.3,-14,Justin Jackson
2019-12-14,24-261,DAL,HOME,MIA,L (-4),0,12:29,1,3,.333,0,1,.000,0,0,,0,3,3,0,0,0,0,3,2,0.0,+5,Justin Jackson
2019-12-16,24-263,DAL,AWAY,MIL,W (+4),0,16:31,2,5,.400,1,3,.333,2,4,.500,0,1,1,3,0,0,0,1,7,5.5,-9,Justin Jackson
2019-12-18,24-265,DAL,HOME,BOS,L (-6),0,11:54,1,4,.250,0,2,.000,2,2,1.000,0,0,0,1,0,0,0,0,4,2.3,-8,Justin Jackson
2019-12-28,24-275,DAL,AWAY,GSW,W (+20),0,21:02,3,9,.333,1,5,.200,2,2,1.000,1,4,5,1,0,0,0,3,9,5.3,+8,Justin Jackson
2019-12-29,24-276,DAL,AWAY,LAL,L (-13),0,20:49,1,6,.167,0,4,.000,0,0,,1,2,3,1,0,0,1,1,2,-1.2,-6,Justin Jackson
2019-12-31,24-278,DAL,AWAY,OKC,L (-5),0,16:58,2,8,.250,2,6,.333,2,2,1.000,0,4,4,2,1,0,0,0,8,6.8,+3,Justin Jackson
2020-01-02,24-280,DAL,HOME,BRK,W (+12),1,25:37,3,6,.500,1,2,.500,1,1,1.000,0,2,2,0,0,1,0,2,8,5.5,+2,Justin Jackson
2020-01-04,24-282,DAL,HOME,CHO,L (-3),1,28:50,3,10,.300,0,6,.000,0,0,,1,4,5,2,1,1,0,2,6,4.4,+7,Justin Jackson
2020-01-06,24-284,DAL,HOME,CHI,W (+8),0,15:24,4,11,.364,1,6,.167,2,2,1.000,0,2,2,0,0,0,0,0,11,5.5,-4,Justin Jackson
2020-01-08,24-286,DAL,HOME,DEN,L (-1),0,20:05,3,5,.600,2,2,1.000,0,0,,1,1,2,1,1,0,0,3,8,7.2,-4,Justin Jackson
2020-01-10,24-288,DAL,HOME,LAL,L (-15),0,13:09,1,3,.333,1,3,.333,0,0,,0,0,0,0,0,0,1,0,3,0.3,-4,Justin Jackson
2020-01-11,24-289,DAL,HOME,PHI,W (+18),0,16:13,3,5,.600,1,1,1.000,0,0,,0,2,2,0,1,0,1,0,7,5.3,-5,Justin Jackson
2020-01-14,24-292,DAL,AWAY,GSW,W (+27),0,19:16,2,4,.500,0,1,.000,2,2,1.000,0,1,1,0,0,0,0,3,6,3.1,+8,Justin Jackson
2020-01-15,24-293,DAL,AWAY,SAC,W (+4),0,20:54,3,9,.333,1,5,.200,0,0,,0,1,1,0,0,0,0,1,7,1.8,-3,Justin Jackson
2020-01-17,24-295,DAL,HOME,POR,W (+8),0,21:00,0,2,.000,0,2,.000,0,0,,2,2,4,1,0,1,0,2,0,1.2,+4,Justin Jackson
2020-01-23,24-301,DAL,AWAY,POR,W (+8),0,25:47,2,6,.333,1,3,.333,1,1,1.000,2,1,3,5,0,0,1,1,6,6.4,+8,Justin Jackson
2020-01-25,24-303,DAL,AWAY,UTA,L (-5),0,19:38,2,7,.286,1,2,.500,0,0,,0,2,2,0,0,0,0,1,5,1.1,-10,Justin Jackson
2020-01-27,24-305,DAL,AWAY,OKC,W (+10),0,22:16,2,8,.250,1,5,.200,0,0,,0,4,4,3,0,1,0,1,5,3.8,+11,Justin Jackson
2020-01-28,24-306,DAL,HOME,PHO,L (-29),0,18:01,2,5,.400,0,3,.000,2,2,1.000,0,1,1,1,0,0,0,2,6,3.5,-11,Justin Jackson
2020-01-31,24-309,DAL,AWAY,HOU,L (-7),0,1:35,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,-7,Justin Jackson
2020-02-01,24-310,DAL,HOME,ATL,W (+23),0,26:26,4,8,.500,1,2,.500,1,1,1.000,1,7,8,1,0,0,1,0,10,8.5,+3,Justin Jackson
2020-02-03,24-312,DAL,AWAY,IND,W (+9),0,13:15,3,6,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,0,6,3.0,-12,Justin Jackson
2020-02-05,24-314,DAL,HOME,MEM,L (-14),0,14:22,1,8,.125,1,2,.500,0,0,,1,0,1,0,0,0,0,0,3,-1.5,-20,Justin Jackson
2020-02-07,24-316,DAL,AWAY,WAS,L (-1),0,11:52,2,6,.333,1,3,.333,2,2,1.000,1,2,3,0,0,0,1,0,7,3.9,-10,Justin Jackson
2020-02-08,24-317,DAL,AWAY,CHO,W (+16),0,3:22,1,4,.250,0,1,.000,0,0,,0,0,0,0,0,0,0,1,2,-0.8,-6,Justin Jackson
2020-02-12,24-321,DAL,HOME,SAC,W (+19),0,20:09,2,4,.500,0,2,.000,0,0,,1,2,3,1,0,0,0,0,4,4.0,-4,Justin Jackson
2020-02-21,24-330,DAL,AWAY,ORL,W (+16),0,5:51,1,2,.500,0,0,,1,2,.500,1,1,2,1,1,0,0,1,3,3.9,-2,Justin Jackson
2020-02-22,24-331,DAL,AWAY,ATL,L (-4),0,26:37,3,6,.500,1,3,.333,3,4,.750,0,8,8,0,0,0,0,1,10,8.6,-1,Justin Jackson
2020-02-24,24-333,DAL,HOME,MIN,W (+16),0,4:41,2,3,.667,0,0,,0,0,,0,1,1,1,0,0,0,0,4,3.7,-6,Justin Jackson
2020-03-01,24-339,DAL,AWAY,MIN,W (+20),0,19:43,1,4,.250,0,2,.000,0,0,,1,1,2,0,0,0,1,1,2,-0.8,-13,Justin Jackson
2020-03-02,24-340,DAL,AWAY,CHI,L (-2),0,8:38,1,4,.250,0,3,.000,0,0,,0,2,2,1,1,1,0,1,2,2.2,-6,Justin Jackson
2020-03-06,24-344,DAL,HOME,MEM,W (+25),0,31:41,4,8,.500,2,4,.500,0,0,,2,2,4,4,0,1,0,0,10,11.5,+29,Justin Jackson
2020-03-08,24-346,DAL,HOME,IND,L (-3),0,18:55,3,4,.750,2,3,.667,3,4,.750,0,2,2,5,1,1,0,0,11,14.8,+7,Justin Jackson
2020-03-10,24-348,DAL,AWAY,SAS,L (-10),0,9:32,1,3,.333,0,1,.000,0,0,,1,1,2,2,0,0,0,0,2,2.7,-5,Justin Jackson
2020-03-11,24-349,DAL,HOME,DEN,W (+16),0,15:37,0,3,.000,0,2,.000,0,0,,0,2,2,2,0,1,0,1,0,0.2,+11,Justin Jackson
2020-07-31,25-125,DAL,HOME,HOU,L (-4),0,7:55,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-0.4,+7,Justin Jackson
2020-08-04,25-129,DAL,AWAY,SAC,W (+4),0,16:39,1,4,.250,1,4,.250,0,0,,0,2,2,0,0,0,0,0,3,1.2,+1,Justin Jackson
2020-08-06,25-131,DAL,HOME,LAC,L (-15),0,12:59,2,4,.500,1,2,.500,0,0,,0,1,1,0,1,0,0,3,5,3.1,+5,Justin Jackson
2020-08-08,25-133,DAL,HOME,MIL,W (+4),0,17:23,2,4,.500,0,1,.000,2,2,1.000,0,2,2,2,2,0,1,1,6,6.6,+13,Justin Jackson
2020-08-10,25-135,DAL,AWAY,UTA,W (+8),1,24:10,1,5,.200,0,0,,0,0,,0,2,2,1,0,0,0,5,2,-1.8,-7,Justin Jackson
2020-08-11,25-136,DAL,HOME,POR,L (-3),0,7:39,0,2,.000,0,1,.000,2,2,1.000,0,2,2,0,0,0,0,2,2,0.4,-12,Justin Jackson
2020-08-13,25-138,DAL,AWAY,PHO,L (-26),0,28:45,5,10,.500,1,4,.250,2,2,1.000,0,2,2,0,0,0,1,0,13,7.6,-11,Justin Jackson
