DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2019-11-25,27-069,CLE,HOME,BRK,L (-2),0,17:28,2,6,.333,1,1,1.000,0,0,,1,3,4,0,0,0,0,2,5,2.4,+3,Alfonzo McKinnie
2019-11-27,27-071,CLE,HOME,ORL,L (-12),0,12:56,2,2,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,1,1,5,3.3,-4,Alfonzo McKinnie
2019-11-29,27-073,CLE,HOME,MIL,L (-9),0,4:21,0,2,.000,0,1,.000,0,0,,1,0,1,0,0,0,0,1,0,-1.1,-7,Alfonzo McKinnie
2019-12-03,27-077,CLE,HOME,DET,L (-33),0,9:24,1,4,.250,0,2,.000,0,0,,0,1,1,0,0,0,0,1,2,-0.5,-11,Alfonzo McKinnie
2019-12-06,27-080,CLE,HOME,ORL,L (-6),0,5:41,0,2,.000,0,2,.000,1,2,.500,1,1,2,0,0,0,1,1,1,-1.2,-10,Alfonzo McKinnie
2019-12-07,27-081,CLE,AWAY,PHI,L (-47),0,12:00,2,7,.286,1,4,.250,0,0,,2,1,3,0,0,0,1,1,5,1.2,-1,Alfonzo McKinnie
2019-12-09,27-083,CLE,AWAY,BOS,L (-22),0,2:33,0,2,.000,0,1,.000,0,0,,1,0,1,0,1,0,0,0,0,0.3,-2,Alfonzo McKinnie
2019-12-14,27-088,CLE,AWAY,MIL,L (-17),0,5:38,0,2,.000,0,0,,0,0,,1,0,1,0,0,0,0,1,0,-1.1,+1,Alfonzo McKinnie
2019-12-23,27-097,CLE,HOME,ATL,W (+3),0,5:20,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,-4,Alfonzo McKinnie
2019-12-27,27-101,CLE,AWAY,BOS,L (-12),0,4:25,1,1,1.000,0,0,,0,0,,0,0,0,0,1,0,0,1,2,2.3,+10,Alfonzo McKinnie
2019-12-28,27-102,CLE,AWAY,MIN,W (+6),0,12:06,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,1,0,2,1.0,-2,Alfonzo McKinnie
2020-01-04,27-109,CLE,HOME,OKC,L (-15),0,28:01,3,8,.375,0,2,.000,0,0,,3,4,7,1,1,0,1,4,6,4.0,-16,Alfonzo McKinnie
2020-01-05,27-110,CLE,HOME,MIN,L (-15),0,21:05,1,5,.200,0,1,.000,0,0,,1,3,4,0,0,0,1,1,2,-0.9,+20,Alfonzo McKinnie
2020-01-09,27-114,CLE,AWAY,DET,W (+3),0,14:01,1,4,.250,0,2,.000,2,2,1.000,0,0,0,0,3,0,1,4,4,2.0,+5,Alfonzo McKinnie
2020-01-11,27-116,CLE,AWAY,DEN,W (+8),0,24:03,5,9,.556,0,3,.000,0,0,,2,2,4,2,2,0,0,2,10,10.3,-10,Alfonzo McKinnie
2020-01-13,27-118,CLE,AWAY,LAL,L (-29),0,22:19,1,5,.200,0,3,.000,0,1,.000,1,2,3,2,0,1,2,5,2,-2.1,-12,Alfonzo McKinnie
2020-01-14,27-119,CLE,AWAY,LAC,L (-25),1,20:38,3,5,.600,1,2,.500,0,0,,1,4,5,1,0,0,1,4,7,4.7,-3,Alfonzo McKinnie
2020-01-17,27-122,CLE,AWAY,MEM,L (-4),0,26:36,6,7,.857,0,1,.000,0,0,,3,7,10,0,2,1,1,3,12,14.2,+20,Alfonzo McKinnie
2020-01-18,27-123,CLE,AWAY,CHI,L (-2),0,20:15,3,6,.500,0,2,.000,3,3,1.000,1,5,6,0,0,0,1,1,9,6.8,+1,Alfonzo McKinnie
2020-01-23,27-128,CLE,HOME,WAS,L (-12),0,18:23,3,6,.500,0,1,.000,1,2,.500,1,2,3,0,0,0,0,2,7,4.1,-5,Alfonzo McKinnie
2020-01-25,27-130,CLE,HOME,CHI,L (-12),0,17:42,2,5,.400,0,1,.000,0,0,,1,5,6,1,0,0,2,4,4,0.6,-1,Alfonzo McKinnie
2020-01-27,27-132,CLE,AWAY,DET,W (+15),0,24:54,6,10,.600,2,4,.500,1,2,.500,3,0,3,1,1,1,1,3,15,12.3,-6,Alfonzo McKinnie
2020-01-28,27-133,CLE,HOME,NOP,L (-14),0,23:40,2,5,.400,0,2,.000,3,4,.750,1,4,5,1,1,0,1,2,7,5.7,0,Alfonzo McKinnie
2020-01-30,27-135,CLE,HOME,TOR,L (-6),0,18:04,0,6,.000,0,3,.000,2,2,1.000,1,3,4,1,2,0,1,3,2,-0.1,-4,Alfonzo McKinnie
2020-02-01,27-137,CLE,HOME,GSW,L (-19),0,18:09,2,4,.500,1,2,.500,0,0,,0,2,2,0,0,0,0,1,5,3.2,-17,Alfonzo McKinnie
2020-02-09,27-145,CLE,HOME,LAC,L (-41),0,21:16,4,9,.444,0,3,.000,1,2,.500,1,0,1,0,1,0,1,2,9,3.8,-13,Alfonzo McKinnie
2020-02-12,27-148,CLE,HOME,ATL,W (+22),0,9:20,1,3,.333,0,2,.000,0,0,,0,1,1,0,1,0,0,1,2,1.2,+7,Alfonzo McKinnie
2020-02-28,27-164,CLE,AWAY,NOP,L (-12),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Alfonzo McKinnie
2020-03-07,27-172,CLE,HOME,DEN,W (+2),0,20:26,4,6,.667,0,2,.000,0,0,,0,3,3,0,1,0,1,2,8,5.5,-6,Alfonzo McKinnie
2020-03-08,27-173,CLE,HOME,SAS,W (+3),0,19:19,4,6,.667,2,2,1.000,0,0,,3,2,5,1,0,1,1,4,10,8.9,-9,Alfonzo McKinnie
2020-03-10,27-175,CLE,AWAY,CHI,L (-5),0,22:51,2,7,.286,0,2,.000,2,2,1.000,3,0,3,0,1,1,1,2,6,3.9,-14,Alfonzo McKinnie
