DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2021-04-28,26-357,CLE,HOME,ORL,L (-5),0,18:37,3,6,.500,2,5,.400,0,0,,0,1,1,2,0,0,1,2,8,4.9,-1,Damyean Dotson
2021-04-30,26-359,CLE,HOME,WAS,L (-29),0,22:51,1,4,.250,0,2,.000,0,0,,0,0,0,1,0,0,1,4,2,-2.3,-32,Damyean Dotson
2021-05-01,26-360,CLE,HOME,MIA,L (-17),0,16:25,2,5,.400,1,4,.250,0,0,,0,2,2,2,0,0,1,1,5,2.9,-11,Damyean Dotson
2021-05-04,26-363,CLE,HOME,PHO,L (-16),0,25:50,3,6,.500,1,3,.333,0,0,,0,4,4,1,0,0,2,2,7,3.1,+2,Damyean Dotson
2021-05-05,26-364,CLE,HOME,POR,L (-36),0,19:31,2,5,.400,0,1,.000,0,0,,0,2,2,2,1,0,1,0,4,3.3,-17,Damyean Dotson
2021-05-07,27-001,CLE,AWAY,DAL,L (-20),0,17:41,0,6,.000,0,5,.000,0,0,,0,3,3,0,0,0,1,0,0,-4.3,-13,Damyean Dotson
2021-05-09,27-003,CLE,HOME,DAL,L (-27),0,25:38,4,10,.400,2,6,.333,0,0,,0,0,0,2,1,0,1,0,10,6.0,-21,Damyean Dotson
2021-05-10,27-004,CLE,HOME,IND,L (-9),1,25:46,2,6,.333,2,6,.333,1,2,.500,0,2,2,0,0,0,1,0,7,2.8,0,Damyean Dotson
2021-05-12,27-006,CLE,HOME,BOS,W (+8),0,24:42,4,6,.667,1,3,.333,0,0,,0,3,3,2,0,0,0,0,9,8.7,+12,Damyean Dotson
2021-05-16,27-010,CLE,AWAY,BRK,L (-14),0,28:19,7,9,.778,3,5,.600,0,0,,0,1,1,3,0,0,4,1,17,11.5,-6,Damyean Dotson
2021-12-21,27-229,NYK,HOME,DET,W (+14),0,4:11,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,+2,Damyean Dotson
2021-12-23,27-231,NYK,HOME,WAS,L (-7),0,16:21,2,4,.500,0,1,.000,0,0,,0,1,1,1,0,0,0,0,4,3.0,+3,Damyean Dotson
2019-10-26,25-173,NYK,HOME,BOS,L (-23),0,3:38,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,2.7,+2,Damyean Dotson
2019-10-30,25-177,NYK,AWAY,ORL,L (-12),0,13:04,0,0,,0,0,,2,3,.667,0,2,2,2,0,0,1,1,2,2.2,+10,Damyean Dotson
2019-11-03,25-181,NYK,HOME,SAC,L (-21),0,4:11,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0,-1.7,-2,Damyean Dotson
2019-11-06,25-184,NYK,AWAY,DET,L (-20),0,3:43,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.0,+4,Damyean Dotson
2019-11-08,25-186,NYK,AWAY,DAL,W (+4),0,6:43,1,2,.500,1,1,1.000,0,0,,0,1,1,0,0,0,1,1,3,0.9,+7,Damyean Dotson
2019-11-10,25-188,NYK,HOME,CLE,L (-21),0,21:15,4,11,.364,2,6,.333,0,0,,0,1,1,1,1,1,0,0,10,6.6,+2,Damyean Dotson
2019-11-12,25-190,NYK,AWAY,CHI,L (-18),0,12:43,2,5,.400,1,3,.333,0,0,,2,2,4,0,0,0,0,3,5,3.1,-15,Damyean Dotson
2019-11-14,25-192,NYK,HOME,DAL,W (+3),0,23:09,3,8,.375,1,5,.200,0,0,,0,2,2,3,3,0,0,1,7,7.9,+10,Damyean Dotson
2019-11-16,25-194,NYK,HOME,CHO,L (-1),0,22:49,2,6,.333,0,2,.000,0,0,,0,3,3,2,0,0,0,1,4,2.5,+3,Damyean Dotson
2019-11-18,25-196,NYK,HOME,CLE,W (+18),0,18:01,5,10,.500,1,5,.200,0,0,,0,1,1,0,0,0,0,0,11,6.3,-5,Damyean Dotson
2019-11-20,25-198,NYK,AWAY,PHI,L (-5),0,19:34,1,6,.167,0,2,.000,0,0,,0,3,3,1,0,1,0,2,2,-0.3,-12,Damyean Dotson
2019-11-23,25-201,NYK,HOME,SAS,L (-7),0,16:25,2,6,.333,0,3,.000,0,0,,0,0,0,1,1,0,0,0,4,2.3,-4,Damyean Dotson
2019-11-24,25-202,NYK,HOME,BRK,L (-2),0,20:54,3,7,.429,1,3,.333,1,2,.500,0,5,5,1,1,0,3,1,8,3.7,+1,Damyean Dotson
2019-11-27,25-205,NYK,AWAY,TOR,L (-28),0,11:57,2,6,.333,2,6,.333,2,2,1.000,0,1,1,2,0,1,1,0,8,6.0,0,Damyean Dotson
2019-11-29,25-207,NYK,HOME,PHI,L (-6),0,19:32,3,8,.375,2,4,.500,2,2,1.000,0,0,0,1,1,0,0,2,10,6.5,-19,Damyean Dotson
2019-12-01,25-209,NYK,HOME,BOS,L (-9),0,31:33,4,6,.667,2,4,.500,0,0,,0,4,4,3,1,1,1,1,10,11.0,-11,Damyean Dotson
2019-12-02,25-210,NYK,AWAY,MIL,L (-44),0,28:45,5,10,.500,2,7,.286,3,4,.750,0,0,0,1,1,0,2,3,15,8.1,-17,Damyean Dotson
2019-12-05,25-213,NYK,HOME,DEN,L (-37),0,4:06,1,1,1.000,1,1,1.000,0,0,,0,1,1,1,0,0,0,0,3,3.7,-1,Damyean Dotson
2019-12-07,25-215,NYK,HOME,IND,L (-1),0,14:25,4,11,.364,2,8,.250,0,0,,1,1,2,0,0,0,1,2,10,3.1,-11,Damyean Dotson
2019-12-10,25-218,NYK,AWAY,POR,L (-28),0,23:06,3,8,.375,2,6,.333,0,0,,1,3,4,0,0,0,0,0,8,5.2,-8,Damyean Dotson
2019-12-11,25-219,NYK,AWAY,GSW,W (+2),0,16:54,0,3,.000,0,2,.000,0,1,.000,0,2,2,3,0,0,0,2,0,-0.6,+15,Damyean Dotson
2019-12-13,25-221,NYK,AWAY,SAC,W (+2),0,16:30,4,6,.667,3,5,.600,0,0,,0,3,3,3,1,0,0,0,11,12.4,+17,Damyean Dotson
2019-12-15,25-223,NYK,AWAY,DEN,L (-6),0,6:53,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-15,Damyean Dotson
2019-12-17,25-225,NYK,HOME,ATL,W (+23),0,24:02,3,6,.500,1,3,.333,2,2,1.000,0,1,1,1,0,0,1,0,9,6.0,+10,Damyean Dotson
2019-12-20,25-228,NYK,AWAY,MIA,L (-15),0,23:05,2,7,.286,0,5,.000,4,5,.800,0,0,0,5,1,0,0,1,8,7.6,+8,Damyean Dotson
2019-12-21,25-229,NYK,HOME,MIL,L (-21),0,9:56,1,5,.200,1,3,.333,0,0,,0,0,0,1,0,0,0,0,3,0.6,-5,Damyean Dotson
2019-12-23,25-231,NYK,HOME,WAS,L (-6),0,27:10,7,13,.538,5,10,.500,0,2,.000,0,2,2,3,0,0,0,1,19,14.2,0,Damyean Dotson
2019-12-26,25-234,NYK,AWAY,BRK,W (+12),0,25:08,1,3,.333,0,0,,0,0,,0,5,5,2,1,0,1,1,2,2.8,-12,Damyean Dotson
2019-12-28,25-236,NYK,AWAY,WAS,W (+7),0,26:28,2,7,.286,1,4,.250,0,0,,0,3,3,2,1,0,0,0,5,4.2,+4,Damyean Dotson
2020-01-01,25-240,NYK,HOME,POR,W (+24),0,13:16,0,0,,0,0,,0,0,,0,1,1,2,0,0,0,0,0,1.7,+8,Damyean Dotson
2020-01-07,25-246,NYK,AWAY,LAL,L (-30),0,5:25,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,-5,Damyean Dotson
2020-01-08,25-247,NYK,AWAY,UTA,L (-24),0,21:33,5,9,.556,1,2,.500,0,0,,1,3,4,0,1,0,0,0,11,9.3,-1,Damyean Dotson
2020-01-10,25-249,NYK,HOME,NOP,L (-12),0,17:46,3,8,.375,1,2,.500,0,0,,0,4,4,3,0,0,0,0,7,5.9,-14,Damyean Dotson
2020-01-12,25-251,NYK,HOME,MIA,W (+3),0,7:54,1,7,.143,0,2,.000,0,1,.000,1,1,2,1,1,0,0,1,2,-0.6,-1,Damyean Dotson
2020-01-14,25-253,NYK,AWAY,MIL,L (-26),0,7:47,0,7,.000,0,4,.000,0,0,,0,2,2,0,0,0,0,0,0,-4.3,-6,Damyean Dotson
2020-01-16,25-255,NYK,HOME,PHO,L (-23),0,26:05,3,6,.500,0,2,.000,0,0,,0,2,2,0,0,0,2,1,6,1.2,-8,Damyean Dotson
2020-01-20,25-259,NYK,AWAY,CLE,W (+20),0,20:59,5,7,.714,2,2,1.000,0,0,,0,5,5,1,1,0,0,3,12,11.1,+5,Damyean Dotson
2020-01-22,25-261,NYK,HOME,LAL,L (-8),0,27:24,6,14,.429,5,11,.455,0,0,,1,1,2,0,1,0,1,1,17,10.2,0,Damyean Dotson
2020-01-24,25-263,NYK,HOME,TOR,L (-6),0,27:11,7,10,.700,4,7,.571,3,5,.600,0,1,1,0,1,0,2,3,21,14.1,-13,Damyean Dotson
2020-01-26,25-265,NYK,HOME,BRK,W (+13),0,19:23,2,3,.667,0,1,.000,0,0,,0,2,2,1,1,0,1,0,4,4.0,+8,Damyean Dotson
2020-01-28,25-267,NYK,AWAY,CHO,L (-5),0,18:39,2,6,.333,2,4,.500,0,0,,1,3,4,0,0,0,0,4,6,2.6,-2,Damyean Dotson
2020-01-29,25-268,NYK,HOME,MEM,L (-21),0,24:19,5,8,.625,4,5,.800,1,1,1.000,0,0,0,1,0,0,0,1,15,11.7,-2,Damyean Dotson
2020-02-01,25-271,NYK,AWAY,IND,W (+7),0,27:13,3,8,.375,2,5,.400,0,0,,0,1,1,2,1,0,1,2,8,4.5,+2,Damyean Dotson
2020-02-03,25-273,NYK,AWAY,CLE,W (+5),0,15:53,3,6,.500,1,2,.500,2,2,1.000,0,1,1,2,1,0,0,1,9,8.3,+2,Damyean Dotson
2020-02-12,25-282,NYK,HOME,WAS,L (-18),0,6:22,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,1,0,-0.4,-4,Damyean Dotson
2020-02-21,25-291,NYK,HOME,IND,L (-8),0,22:34,2,8,.250,2,4,.500,0,0,,0,3,3,3,1,0,0,1,6,4.8,-3,Damyean Dotson
2020-02-24,25-294,NYK,AWAY,HOU,L (-11),0,17:41,3,7,.429,3,6,.500,0,0,,0,4,4,1,0,0,1,2,9,5.4,-3,Damyean Dotson
2020-03-06,25-305,NYK,HOME,OKC,L (-23),0,12:57,2,8,.250,0,2,.000,0,1,.000,2,1,3,0,1,0,0,0,4,1.5,-6,Damyean Dotson
