DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2018-10-17,23-112,DEN,AWAY,LAC,W (+9),0,16:23,3,9,.333,1,2,.500,0,0,,1,1,2,4,1,0,0,0,7,6.7,-9,Monte Morris
2018-10-20,23-115,DEN,HOME,PHO,W (+28),0,13:23,0,3,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,2,0,-3.9,-15,Monte Morris
2018-10-21,23-116,DEN,HOME,GSW,W (+2),0,21:36,4,10,.400,1,3,.333,0,2,.000,0,6,6,4,0,0,1,2,9,5.6,+18,Monte Morris
2018-10-23,23-118,DEN,HOME,SAC,W (+14),0,28:57,4,12,.333,1,2,.500,2,2,1.000,1,2,3,7,1,0,0,3,11,10.2,+14,Monte Morris
2018-10-25,23-120,DEN,AWAY,LAL,L (-7),0,27:17,6,9,.667,2,2,1.000,6,6,1.000,1,2,3,7,3,0,0,0,20,25.3,+3,Monte Morris
2018-10-29,23-124,DEN,HOME,NOP,W (+5),0,24:11,3,9,.333,1,4,.250,0,0,,0,0,0,2,3,0,2,1,7,3.9,+2,Monte Morris
2018-10-31,23-126,DEN,AWAY,CHI,W (+1),0,24:35,1,6,.167,0,1,.000,2,2,1.000,1,1,2,2,0,0,0,2,4,1.8,-4,Monte Morris
2018-11-01,23-127,DEN,AWAY,CLE,W (+19),0,22:11,3,7,.429,1,1,1.000,0,0,,1,2,3,3,2,0,1,1,7,7.3,+5,Monte Morris
2018-11-03,23-129,DEN,HOME,UTA,W (+15),0,12:03,1,3,.333,1,2,.500,0,0,,0,2,2,2,0,0,0,1,3,2.9,-1,Monte Morris
2018-11-05,23-131,DEN,HOME,BOS,W (+8),0,19:30,3,5,.600,0,1,.000,2,3,.667,0,1,1,4,1,0,0,0,8,9.4,+14,Monte Morris
2018-11-07,23-133,DEN,AWAY,MEM,L (-2),0,26:27,4,10,.400,0,3,.000,0,0,,0,2,2,3,1,0,0,0,8,6.3,+4,Monte Morris
2018-11-09,23-135,DEN,HOME,BRK,L (-2),0,22:07,7,11,.636,1,2,.500,0,0,,0,6,6,2,1,0,0,2,15,13.5,+2,Monte Morris
2018-11-11,23-137,DEN,HOME,MIL,L (-7),0,27:48,2,6,.333,1,2,.500,0,0,,0,3,3,10,0,1,0,1,5,9.8,+7,Monte Morris
2018-11-13,23-139,DEN,HOME,HOU,L (-10),0,31:01,7,11,.636,3,6,.500,2,2,1.000,0,2,2,6,0,0,2,2,19,16.1,-8,Monte Morris
2018-11-15,23-141,DEN,HOME,ATL,W (+45),1,29:09,4,9,.444,0,2,.000,0,0,,0,2,2,2,1,0,0,3,8,5.1,+23,Monte Morris
2018-11-17,23-143,DEN,AWAY,NOP,L (-10),0,34:14,6,7,.857,1,1,1.000,0,0,,0,3,3,5,0,0,2,1,13,12.5,+1,Monte Morris
2018-11-19,23-145,DEN,AWAY,MIL,L (-6),0,25:02,5,9,.556,0,2,.000,0,0,,0,3,3,4,0,0,1,2,10,7.6,+8,Monte Morris
2018-11-21,23-147,DEN,AWAY,MIN,W (+2),0,23:09,4,6,.667,1,1,1.000,0,0,,0,3,3,4,0,0,1,1,9,8.7,0,Monte Morris
2018-11-23,23-149,DEN,HOME,ORL,W (+25),0,25:37,3,7,.429,2,2,1.000,0,0,,1,2,3,4,1,0,0,1,8,9.0,+10,Monte Morris
2018-11-24,23-150,DEN,AWAY,OKC,W (+7),0,20:17,1,5,.200,0,0,,2,2,1.000,0,2,2,6,2,0,0,1,4,7.3,+7,Monte Morris
2018-11-27,23-153,DEN,HOME,LAL,W (+32),0,26:39,2,7,.286,0,2,.000,3,4,.750,0,3,3,7,1,0,0,0,7,9.3,+20,Monte Morris
2018-11-30,23-156,DEN,AWAY,POR,W (+1),0,30:06,7,8,.875,2,3,.667,0,0,,1,3,4,2,0,0,1,1,16,14.8,-6,Monte Morris
2018-12-03,23-159,DEN,AWAY,TOR,W (+3),0,22:06,3,10,.300,0,2,.000,2,3,.667,0,1,1,1,0,0,1,1,8,1.4,-5,Monte Morris
2018-12-05,23-161,DEN,AWAY,ORL,W (+6),0,20:18,6,7,.857,1,1,1.000,0,1,.000,1,1,2,3,0,0,2,0,13,11.2,+5,Monte Morris
2018-12-07,23-163,DEN,AWAY,CHO,L (-6),0,24:30,5,12,.417,2,4,.500,0,0,,2,1,3,2,0,1,0,0,12,9.4,0,Monte Morris
2018-12-08,23-164,DEN,AWAY,ATL,L (-8),0,30:26,4,14,.286,2,7,.286,0,0,,1,1,2,7,5,0,3,3,10,8.5,-9,Monte Morris
2018-12-10,23-166,DEN,HOME,MEM,W (+6),0,28:20,8,12,.667,4,5,.800,0,0,,0,6,6,5,1,0,1,1,20,19.7,+14,Monte Morris
2018-12-14,23-170,DEN,HOME,OKC,W (+11),0,26:28,6,11,.545,2,5,.400,0,0,,0,3,3,6,2,0,0,1,14,15.4,+11,Monte Morris
2018-12-16,23-172,DEN,HOME,TOR,W (+9),0,37:48,5,11,.455,2,3,.667,0,0,,0,4,4,4,2,0,0,2,12,11.5,+12,Monte Morris
2018-12-18,23-174,DEN,HOME,DAL,W (+8),0,24:43,7,10,.700,2,3,.667,0,0,,0,4,4,5,2,0,1,2,16,16.7,+11,Monte Morris
2018-12-22,23-178,DEN,AWAY,LAC,L (-21),0,24:46,6,9,.667,1,3,.333,2,2,1.000,0,1,1,5,1,0,1,1,15,14.5,-19,Monte Morris
2018-12-26,23-182,DEN,AWAY,SAS,L (-8),0,29:29,6,16,.375,3,5,.600,0,0,,0,0,0,4,3,0,2,2,15,9.2,-4,Monte Morris
2018-12-28,23-184,DEN,HOME,SAS,W (+3),0,20:37,1,6,.167,1,2,.500,4,4,1.000,2,3,5,7,2,0,1,2,7,10.6,+7,Monte Morris
2018-12-29,23-185,DEN,AWAY,PHO,W (+4),0,29:37,1,6,.167,1,4,.250,2,4,.500,1,2,3,4,0,0,1,1,5,3.1,-15,Monte Morris
2019-01-01,23-188,DEN,HOME,NYK,W (+7),0,22:46,2,8,.250,1,4,.250,0,0,,1,2,3,4,0,0,1,1,5,2.9,-2,Monte Morris
2019-01-03,23-190,DEN,AWAY,SAC,W (+4),0,10:35,1,6,.167,1,3,.333,0,0,,0,1,1,0,0,0,1,1,3,-1.9,-6,Monte Morris
2019-01-05,23-192,DEN,HOME,CHO,W (+13),0,15:05,2,7,.286,2,3,.667,2,2,1.000,1,0,1,1,1,0,0,0,8,6.3,+8,Monte Morris
2019-01-07,23-194,DEN,AWAY,HOU,L (-12),0,24:24,9,13,.692,1,3,.333,2,2,1.000,0,3,3,5,2,0,0,2,21,21.1,+2,Monte Morris
2019-01-08,23-195,DEN,AWAY,MIA,W (+4),0,24:34,2,7,.286,0,1,.000,0,0,,0,2,2,2,0,0,1,1,4,0.5,-4,Monte Morris
2019-01-10,23-197,DEN,HOME,LAC,W (+21),0,23:52,6,12,.500,2,4,.500,0,0,,2,0,2,4,0,0,0,2,14,11.4,-1,Monte Morris
2019-01-12,23-199,DEN,AWAY,PHO,L (-9),0,29:23,5,11,.455,1,4,.250,1,1,1.000,1,3,4,5,1,0,1,2,12,10.6,-12,Monte Morris
2019-01-13,23-200,DEN,HOME,POR,W (+3),0,27:20,5,6,.833,0,0,,0,0,,0,1,1,3,2,0,0,0,10,12.2,+4,Monte Morris
2019-01-15,23-202,DEN,HOME,GSW,L (-31),0,14:13,1,7,.143,0,1,.000,0,0,,0,1,1,0,0,0,0,1,2,-2.6,-13,Monte Morris
2019-01-17,23-204,DEN,HOME,CHI,W (+30),0,16:05,3,7,.429,0,3,.000,0,0,,0,1,1,5,0,0,0,1,6,5.7,+8,Monte Morris
2019-01-19,23-206,DEN,HOME,CLE,W (+22),0,19:26,6,7,.857,3,4,.750,0,0,,0,0,0,3,2,0,0,1,15,16.2,+5,Monte Morris
