DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2021-12-10,28-318,CLE,AWAY,MIN,W (+17),0,5:22,.625,.625,0.0,17.5,10.3,0.0,0.0,0.0,0.0,32.6,111,107,2.9,-1.4,Kevin Pangos
2021-12-15,28-323,CLE,HOME,HOU,W (+35),0,12:00,1.000,1.000,0.0,0.0,0.0,9.8,0.0,0.0,0.0,3.8,213,102,2.4,0.6,Kevin Pangos
2021-12-18,28-326,CLE,AWAY,MIL,W (+29),0,3:20,.000,.000,0.0,28.8,16.0,32.0,0.0,0.0,0.0,26.4,37,94,-0.4,-25.6,Kevin Pangos
2021-12-22,28-330,CLE,AWAY,BOS,L (-10),0,8:01,1.250,1.250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2,250,120,3.6,7.3,Kevin Pangos
2021-12-26,28-334,CLE,HOME,TOR,W (+45),0,16:19,.500,.500,0.0,0.0,0.0,35.2,2.7,0.0,0.0,14.3,147,97,7.4,4.0,Kevin Pangos
2021-12-28,28-336,CLE,AWAY,NOP,L (-4),0,8:54,.000,.000,11.5,0.0,6.3,29.2,0.0,0.0,0.0,15.7,61,126,0.0,-15.1,Kevin Pangos
2021-12-30,28-338,CLE,AWAY,WAS,L (-17),1,24:23,.125,.125,0.0,8.6,4.3,35.8,0.0,0.0,11.1,16.9,56,122,0.6,-12.5,Kevin Pangos
2021-12-31,28-339,CLE,HOME,ATL,L (-3),1,23:33,.444,.444,0.0,3.9,2.3,20.5,0.0,0.0,10.0,19.7,99,137,4.6,-10.8,Kevin Pangos
2022-01-02,28-341,CLE,HOME,IND,W (+4),1,26:49,.509,.417,0.0,11.9,6.2,19.1,0.0,0.0,12.7,13.0,112,118,6.3,-5.3,Kevin Pangos
2022-01-12,28-351,CLE,AWAY,UTA,W (+20),0,2:02,,,0.0,50.2,28.8,0.0,0.0,0.0,,0.0,0,99,0.3,-2.5,Kevin Pangos
2022-01-19,28-358,CLE,AWAY,CHI,L (-13),0,1:34,,,0.0,0.0,0.0,0.0,33.2,0.0,,0.0,0,62,1.0,35.0,Kevin Pangos
2022-01-26,29-000,CLE,HOME,MIL,W (+16),0,1:02,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,116,0.0,-7.4,Kevin Pangos
2022-02-02,29-007,CLE,AWAY,HOU,L (-11),0,1:12,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,125,0.0,-7.9,Kevin Pangos
2022-02-06,29-011,CLE,HOME,IND,W (+13),0,1:37,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.9,0,105,-1.1,-44.8,Kevin Pangos
2022-02-09,29-014,CLE,HOME,SAS,W (+13),0,1:33,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,106,0.0,-5.1,Kevin Pangos
2017-10-18,22-237,MIN,AWAY,SAS,L (-8),1,30:25,.724,.786,3.2,14.7,8.6,6.9,0.0,0.0,5.3,27.7,131,118,19.4,11.9,Andrew Wiggins
2017-10-20,22-239,MIN,HOME,UTA,W (+3),1,34:39,.485,.421,10.1,6.8,8.4,0.0,0.0,0.0,8.5,30.5,100,109,10.4,-3.1,Andrew Wiggins
2017-10-22,22-241,MIN,AWAY,OKC,W (+2),1,39:24,.574,.550,3.3,16.6,10.5,15.8,2.4,0.0,4.1,26.4,123,109,21.3,6.1,Andrew Wiggins
2017-10-24,22-243,MIN,HOME,IND,L (-23),1,30:49,.301,.333,3.6,18.0,9.0,8.3,1.6,0.0,7.9,18.0,69,135,0.9,-14.9,Andrew Wiggins
2017-10-25,22-244,MIN,AWAY,DET,L (-21),1,35:43,.658,.625,0.0,9.6,4.8,4.9,2.7,0.0,23.9,26.0,98,122,12.0,-3.0,Andrew Wiggins
2017-10-27,22-246,MIN,HOME,OKC,W (+3),1,36:28,.429,.433,0.0,10.4,5.0,3.7,2.7,2.3,5.8,19.6,99,118,6.8,-2.9,Andrew Wiggins
2017-10-30,22-249,MIN,AWAY,MIA,W (+3),1,40:16,.415,.326,11.7,8.8,10.2,4.1,1.2,2.0,10.2,31.7,89,115,11.0,-8.3,Andrew Wiggins
2017-11-01,22-251,MIN,AWAY,NOP,W (+6),1,37:39,.403,.429,9.6,8.5,9.0,0.0,1.3,0.0,11.8,28.2,79,103,6.7,-7.0,Andrew Wiggins
2017-11-04,22-254,MIN,HOME,DAL,W (+13),1,35:26,.730,.714,0.0,9.0,5.1,8.8,0.0,2.3,11.3,22.7,128,108,16.2,1.1,Andrew Wiggins
2017-11-05,22-255,MIN,HOME,CHO,W (+18),1,35:14,.704,.708,0.0,7.9,4.3,10.1,0.0,2.2,6.6,18.5,136,100,15.6,7.0,Andrew Wiggins
2017-11-08,22-258,MIN,AWAY,GSW,L (-24),1,32:18,.539,.464,2.9,21.2,10.4,15.3,5.6,0.0,16.0,23.9,97,111,14.1,3.0,Andrew Wiggins
2017-11-11,22-261,MIN,AWAY,PHO,L (-8),1,38:19,.538,.477,0.0,3.6,1.3,0.0,2.4,0.0,0.0,25.7,121,117,17.5,1.8,Andrew Wiggins
2017-11-13,22-263,MIN,AWAY,UTA,W (+11),1,38:47,.451,.400,0.0,11.5,7.0,15.4,2.7,5.6,24.7,20.3,81,103,7.8,-2.6,Andrew Wiggins
2017-11-15,22-265,MIN,HOME,SAS,W (+12),1,35:40,.431,.409,0.0,6.3,3.1,12.0,0.0,0.0,0.0,17.2,101,109,6.4,-4.3,Andrew Wiggins
2017-11-17,22-267,MIN,AWAY,DAL,W (+24),1,36:22,.567,.533,3.2,11.0,7.4,4.4,4.4,0.0,5.6,22.5,114,92,14.7,4.1,Andrew Wiggins
2017-11-19,22-269,MIN,HOME,DET,L (-3),1,41:45,.607,.611,0.0,5.3,3.1,4.2,2.4,5.9,13.2,24.7,103,102,17.0,3.9,Andrew Wiggins
2017-11-20,22-270,MIN,AWAY,CHO,L (-16),1,35:53,.370,.357,2.6,0.0,1.5,8.8,1.3,0.0,16.8,21.5,71,124,1.7,-11.0,Andrew Wiggins
2017-11-22,22-272,MIN,HOME,ORL,W (+6),1,40:40,.527,.433,2.5,15.1,8.2,7.2,1.1,2.2,9.5,21.7,105,115,14.0,-2.4,Andrew Wiggins
2017-11-24,22-274,MIN,HOME,MIA,L (-12),1,38:36,.514,.429,2.7,6.2,4.3,8.4,4.2,3.0,5.4,21.8,111,118,14.4,1.1,Andrew Wiggins
2017-11-26,22-276,MIN,HOME,PHO,W (+11),1,40:50,.531,.556,7.8,5.9,6.9,11.9,1.3,2.0,9.2,23.2,120,123,15.2,-1.7,Andrew Wiggins
2017-11-28,22-278,MIN,HOME,WAS,L (-3),1,37:26,.398,.367,0.0,5.7,2.8,17.9,0.0,2.3,5.8,22.0,90,109,6.4,-3.6,Andrew Wiggins
2017-11-29,22-279,MIN,AWAY,NOP,W (+18),1,36:32,.693,.639,8.8,18.8,14.6,19.4,0.0,2.7,9.0,27.4,143,111,24.4,7.2,Andrew Wiggins
2017-12-01,22-281,MIN,AWAY,OKC,L (-4),1,39:31,.691,.714,0.0,11.0,5.4,4.1,1.3,2.3,5.7,21.2,124,123,16.3,4.0,Andrew Wiggins
2017-12-03,22-283,MIN,HOME,LAC,W (+6),1,38:08,.358,.267,2.9,7.0,4.8,3.8,1.4,0.0,5.6,20.6,86,122,5.1,-9.7,Andrew Wiggins
2017-12-04,22-284,MIN,AWAY,MEM,L (-3),1,36:29,.353,.353,6.3,12.0,8.8,0.0,3.0,0.0,10.5,25.9,70,106,3.2,-10.5,Andrew Wiggins
2017-12-06,22-286,MIN,AWAY,LAC,W (+6),1,36:25,.474,.469,3.9,2.4,3.0,7.4,0.0,0.0,15.1,24.7,87,119,5.0,-10.6,Andrew Wiggins
2017-12-10,22-290,MIN,HOME,DAL,W (+5),1,35:36,.322,.250,3.7,6.4,5.2,4.2,0.0,2.7,16.2,24.9,65,108,0.1,-12.8,Andrew Wiggins
2017-12-12,22-292,MIN,HOME,PHI,L (-6),1,40:01,.382,.354,8.5,9.9,9.1,7.9,2.4,2.5,3.7,27.7,90,109,11.2,-1.5,Andrew Wiggins
2017-12-14,22-294,MIN,HOME,SAC,W (+23),1,33:49,.631,.618,0.0,3.1,1.8,0.0,0.0,0.0,5.4,26.2,115,122,12.6,-5.6,Andrew Wiggins
2017-12-16,22-296,MIN,HOME,PHO,L (-2),1,36:31,.366,.344,2.7,0.0,1.6,3.9,4.1,2.7,10.1,23.3,73,116,4.5,-9.8,Andrew Wiggins
2017-12-18,22-298,MIN,HOME,POR,W (+1),1,33:14,.294,.286,6.6,25.8,14.0,0.0,1.5,2.4,0.0,20.1,73,111,4.6,-6.7,Andrew Wiggins
2017-12-20,22-300,MIN,AWAY,DEN,W (+8),1,34:47,.281,.250,0.0,18.6,8.7,7.1,2.9,3.1,0.0,16.6,68,108,5.0,-6.3,Andrew Wiggins
2017-12-23,22-303,MIN,AWAY,PHO,W (+9),1,30:48,.500,.500,7.8,7.2,7.5,0.0,1.6,0.0,10.5,26.7,100,112,7.7,-6.9,Andrew Wiggins
2017-12-25,22-305,MIN,AWAY,LAL,W (+17),1,34:11,.500,.500,0.0,11.7,7.1,17.9,0.0,0.0,5.9,22.7,109,114,10.9,-2.9,Andrew Wiggins
2017-12-27,22-307,MIN,HOME,DEN,W (+3),1,42:02,.691,.731,0.0,8.2,4.2,0.0,0.0,2.4,0.0,17.6,130,129,13.1,0.1,Andrew Wiggins
2017-12-28,22-308,MIN,AWAY,MIL,L (-6),1,34:00,.631,.643,0.0,12.5,6.1,5.9,1.6,0.0,5.7,25.3,116,115,13.6,3.2,Andrew Wiggins
2017-12-31,22-311,MIN,AWAY,IND,W (+17),1,30:43,.474,.462,0.0,7.1,3.6,9.4,1.7,0.0,6.3,23.7,100,107,7.3,-3.8,Andrew Wiggins
2018-01-01,22-312,MIN,HOME,LAL,W (+18),1,35:18,.550,.469,7.8,22.1,15.7,17.8,2.7,2.7,0.0,23.3,126,93,20.8,7.0,Andrew Wiggins
2018-01-03,22-314,MIN,AWAY,BRK,L (-1),1,36:35,.500,.500,3.2,4.5,3.7,5.1,2.9,0.0,0.0,22.0,107,109,11.6,1.7,Andrew Wiggins
2018-01-05,22-316,MIN,AWAY,BOS,L (-7),1,36:09,.342,.292,2.8,5.2,4.0,5.5,1.5,4.6,12.0,22.0,68,105,2.8,-5.0,Andrew Wiggins
2018-01-06,22-317,MIN,HOME,NOP,W (+18),1,34:35,.446,.432,6.3,20.3,13.1,8.8,2.9,8.5,0.0,28.8,106,97,16.5,2.9,Andrew Wiggins
2018-01-08,22-319,MIN,HOME,CLE,W (+28),1,30:44,.578,.526,7.1,12.7,10.1,4.1,0.0,0.0,0.0,30.0,133,109,17.4,0.7,Andrew Wiggins
2018-01-10,22-321,MIN,HOME,OKC,W (+16),1,42:28,.582,.567,0.0,7.7,3.9,7.5,1.2,0.0,5.8,18.5,116,99,12.0,-0.6,Andrew Wiggins
2018-01-12,22-323,MIN,HOME,NYK,W (+10),1,35:12,.375,.375,3.2,18.9,10.4,6.9,2.9,2.3,8.6,27.9,84,113,7.5,-10.8,Andrew Wiggins
2018-01-14,22-325,MIN,HOME,POR,W (+17),1,31:01,.715,.727,4.2,11.9,8.1,10.1,3.2,0.0,20.2,21.8,115,108,13.7,2.6,Andrew Wiggins
2018-01-16,22-327,MIN,AWAY,ORL,L (-6),1,34:27,.349,.333,0.0,13.6,6.3,14.9,0.0,2.4,0.0,16.4,89,120,6.5,-4.9,Andrew Wiggins
2018-01-18,22-329,MIN,AWAY,HOU,L (-18),1,33:39,.581,.542,6.8,10.0,8.4,13.9,1.6,2.9,12.7,22.2,111,129,12.5,1.9,Andrew Wiggins
2018-01-20,22-331,MIN,HOME,TOR,W (+6),1,36:24,.613,.548,3.1,14.3,8.3,16.8,0.0,0.0,14.5,33.0,116,120,17.5,0.5,Andrew Wiggins
2018-01-22,22-333,MIN,AWAY,LAC,W (+8),1,41:02,.635,.625,4.7,12.6,8.1,4.8,0.0,2.1,8.7,33.3,125,119,25.8,4.1,Andrew Wiggins
2018-01-24,22-335,MIN,AWAY,POR,L (-9),1,31:38,.671,.706,0.0,8.9,4.3,10.7,0.0,3.0,5.3,28.7,124,135,17.0,2.6,Andrew Wiggins
2018-01-25,22-336,MIN,AWAY,GSW,L (-13),1,37:24,.265,.222,2.6,9.4,5.7,9.4,2.6,2.5,9.6,22.5,64,125,2.6,-11.1,Andrew Wiggins
2018-01-27,22-338,MIN,HOME,BRK,W (+14),1,37:29,.483,.450,5.3,8.7,7.0,8.4,1.4,2.5,8.4,27.1,103,109,12.8,-2.8,Andrew Wiggins
2018-01-29,22-340,MIN,AWAY,ATL,L (-5),1,37:30,.643,.643,0.0,10.7,4.9,13.4,2.7,2.8,6.7,18.5,119,111,14.9,3.0,Andrew Wiggins
2018-01-30,22-341,MIN,AWAY,TOR,L (-5),1,34:21,.341,.341,3.5,25.1,14.2,8.7,0.0,0.0,12.0,33.7,70,122,3.2,-12.8,Andrew Wiggins
2018-02-01,22-343,MIN,HOME,MIL,W (+19),1,30:00,.322,.300,0.0,19.2,11.7,0.0,5.1,2.9,15.5,20.6,54,85,3.9,-7.0,Andrew Wiggins
2018-02-03,22-345,MIN,HOME,NOP,W (+11),1,37:42,.536,.536,2.8,4.5,3.8,3.3,1.3,0.0,12.5,17.9,101,113,8.2,-4.2,Andrew Wiggins
2018-02-07,22-349,MIN,AWAY,CLE,L (-2),1,39:51,.684,.692,0.0,7.0,3.5,3.0,0.0,0.0,12.6,19.3,110,139,10.4,-6.3,Andrew Wiggins
2018-02-09,22-351,MIN,AWAY,CHI,L (-1),1,36:34,.643,.643,0.0,13.1,6.2,0.0,0.0,2.3,26.3,22.2,88,117,7.1,-7.7,Andrew Wiggins
2018-02-11,22-353,MIN,HOME,SAC,W (+5),1,35:22,.576,.577,0.0,24.7,13.6,14.8,1.4,2.2,22.4,23.3,89,108,10.7,-4.0,Andrew Wiggins
2018-02-13,22-355,MIN,HOME,HOU,L (-18),1,40:39,.222,.143,3.2,5.9,4.6,0.0,1.3,3.3,6.0,19.4,53,140,-1.6,-15.3,Andrew Wiggins
2018-02-15,22-357,MIN,HOME,LAL,W (+8),1,32:42,.364,.364,3.2,9.6,6.4,0.0,0.0,0.0,0.0,14.2,83,114,3.1,-9.2,Andrew Wiggins
2018-02-23,23-000,MIN,AWAY,HOU,L (-18),1,36:08,.591,.594,5.1,6.5,5.7,9.0,0.0,0.0,5.3,22.4,124,139,13.8,2.3,Andrew Wiggins
2018-02-24,23-001,MIN,HOME,CHI,W (+18),1,34:34,.609,.611,0.0,6.2,3.0,8.6,1.3,2.1,9.6,24.9,110,98,15.3,1.9,Andrew Wiggins
2018-02-26,23-003,MIN,AWAY,SAC,W (+18),1,37:01,.624,.567,0.0,3.0,1.8,9.1,1.4,2.1,0.0,22.0,136,111,17.7,1.8,Andrew Wiggins
2018-03-01,23-006,MIN,AWAY,POR,L (-9),1,37:39,.473,.400,5.7,7.4,6.6,13.2,0.0,2.1,15.3,30.6,91,114,8.5,-4.7,Andrew Wiggins
2018-03-02,23-007,MIN,AWAY,UTA,L (-8),1,34:51,.599,.632,3.8,7.7,5.7,5.7,1.4,0.0,15.1,36.7,100,122,13.5,-2.4,Andrew Wiggins
2018-03-08,23-013,MIN,HOME,BOS,L (-8),1,38:23,.310,.310,10.0,8.7,9.4,13.7,2.5,0.0,16.0,28.0,73,117,4.0,-9.7,Andrew Wiggins
2018-03-11,23-016,MIN,HOME,GSW,W (+6),1,36:57,.648,.625,0.0,13.3,6.5,12.1,0.0,0.0,5.3,21.5,127,110,16.4,3.3,Andrew Wiggins
2018-03-13,23-018,MIN,AWAY,WAS,W (+5),1,37:27,.538,.500,0.0,3.2,1.7,3.5,1.4,4.1,11.8,20.5,102,128,9.6,-5.9,Andrew Wiggins
2018-03-17,23-022,MIN,AWAY,SAS,L (-16),1,33:59,.595,.533,3.8,14.9,9.4,25.5,0.0,0.0,5.4,24.9,129,132,17.3,4.6,Andrew Wiggins
2018-03-18,23-023,MIN,HOME,HOU,L (-9),1,35:58,.563,.563,3.4,3.8,3.6,3.9,2.8,0.0,9.7,25.2,112,136,11.9,-3.0,Andrew Wiggins
2018-03-20,23-025,MIN,HOME,LAC,W (+14),1,38:06,.742,.688,0.0,8.4,4.7,0.0,1.3,5.5,5.2,22.5,138,109,21.2,7.9,Andrew Wiggins
2018-03-23,23-028,MIN,AWAY,NYK,W (+4),1,37:36,.482,.400,0.0,28.7,16.1,8.9,2.7,0.0,18.5,26.8,82,103,10.0,-5.2,Andrew Wiggins
2018-03-24,23-029,MIN,AWAY,PHI,L (-12),1,30:30,.417,.412,2.8,23.4,12.1,24.2,0.0,0.0,5.0,25.1,91,112,9.9,-0.8,Andrew Wiggins
2018-03-26,23-031,MIN,HOME,MEM,L (-8),1,43:11,.469,.441,3.2,18.0,10.8,8.8,2.4,0.0,5.0,21.7,97,110,12.6,-2.2,Andrew Wiggins
2018-03-28,23-033,MIN,HOME,ATL,W (+12),1,36:59,.612,.615,0.0,7.6,3.5,10.0,2.5,0.0,12.6,18.4,108,111,11.8,-1.8,Andrew Wiggins
2018-03-30,23-035,MIN,AWAY,DAL,W (+1),1,42:34,.235,.235,0.0,10.3,5.0,11.1,3.6,3.9,5.6,20.4,54,94,3.6,-6.7,Andrew Wiggins
2018-04-01,23-037,MIN,HOME,UTA,L (-24),1,35:56,.493,.477,2.9,21.5,10.4,21.7,2.7,0.0,4.1,30.0,102,123,16.8,2.6,Andrew Wiggins
2018-04-05,23-041,MIN,AWAY,DEN,L (-4),1,32:49,.362,.375,3.2,15.2,9.3,13.2,0.0,0.0,7.4,18.5,83,112,4.3,-5.4,Andrew Wiggins
2018-04-06,23-042,MIN,AWAY,LAL,W (+17),1,36:17,.341,.341,11.4,9.2,10.5,19.6,1.4,2.4,0.0,25.0,98,106,11.6,-2.2,Andrew Wiggins
2018-04-09,23-045,MIN,HOME,MEM,W (+19),1,35:31,.281,.250,9.4,9.2,9.3,3.6,4.2,2.0,7.4,15.7,82,95,5.0,-6.3,Andrew Wiggins
2018-04-11,23-047,MIN,HOME,DEN,W (+6),1,42:07,.719,.722,0.0,15.0,7.2,10.6,0.0,0.0,7.4,15.8,136,115,14.7,4.2,Andrew Wiggins
2015-10-28,20-247,MIN,AWAY,LAL,W (+1),1,29:05,.356,.200,0.0,3.7,1.9,0.0,0.0,0.0,13.7,22.5,65,118,-0.5,-16.7,Andrew Wiggins
2015-10-30,20-249,MIN,AWAY,DEN,W (+17),1,30:41,.517,.385,7.6,5.3,6.3,7.1,0.0,2.2,18.7,31.6,91,90,8.7,-2.5,Andrew Wiggins
2015-11-02,20-252,MIN,HOME,POR,L (-5),1,23:25,.398,.294,14.3,14.0,14.1,25.9,2.0,0.0,13.0,42.6,84,107,8.0,-5.5,Andrew Wiggins
2015-11-05,20-255,MIN,HOME,MIA,L (-12),1,31:19,.318,.306,10.2,3.7,7.1,0.0,1.6,0.0,0.0,26.1,75,104,4.0,-4.2,Andrew Wiggins
2015-11-07,20-257,MIN,AWAY,CHI,W (+9),1,41:01,.494,.481,2.4,4.8,3.6,10.4,0.0,2.1,3.1,34.1,101,94,15.7,4.1,Andrew Wiggins
2015-11-09,20-259,MIN,AWAY,ATL,W (+10),1,37:39,.694,.705,8.2,10.6,9.5,19.0,1.3,2.3,17.4,33.7,117,109,24.2,3.7,Andrew Wiggins
2015-11-12,20-262,MIN,HOME,GSW,L (-13),1,34:43,.484,.441,3.3,3.6,3.5,20.7,0.0,0.0,4.8,24.6,115,135,12.2,-1.4,Andrew Wiggins
2015-11-13,20-263,MIN,AWAY,IND,L (-4),1,41:36,.601,.553,0.0,5.4,2.9,7.6,0.0,0.0,12.2,27.4,112,120,14.1,-2.1,Andrew Wiggins
2015-11-15,20-265,MIN,HOME,MEM,L (-8),1,37:18,.648,.607,0.0,4.6,1.9,4.2,1.4,2.4,11.0,22.7,118,125,13.9,-0.9,Andrew Wiggins
2015-11-17,20-267,MIN,AWAY,MIA,W (+12),1,32:59,.464,.381,5.2,3.0,4.2,6.0,4.3,2.6,3.7,32.4,102,88,16.0,6.9,Andrew Wiggins
2015-11-18,20-268,MIN,AWAY,ORL,L (-3),1,38:12,.604,.471,9.2,4.2,6.2,5.6,0.0,3.1,7.9,31.1,123,109,20.5,4.7,Andrew Wiggins
2015-11-20,20-270,MIN,HOME,DET,L (-10),1,36:19,.481,.412,3.1,12.6,7.8,16.7,0.0,0.0,8.4,30.0,95,104,11.9,-0.9,Andrew Wiggins
2015-11-23,20-273,MIN,HOME,PHI,W (+5),1,38:17,.609,.500,9.9,5.7,7.6,16.0,1.3,5.3,7.1,33.2,124,102,25.7,10.0,Andrew Wiggins
2015-11-25,20-275,MIN,HOME,ATL,W (+4),1,35:44,.365,.294,3.0,7.6,5.5,4.9,4.2,0.0,12.8,29.9,70,99,6.2,-7.6,Andrew Wiggins
2015-11-27,20-277,MIN,AWAY,SAC,W (+10),1,36:10,.560,.500,18.4,2.9,9.7,5.0,0.0,2.1,4.8,26.8,128,105,15.5,0.5,Andrew Wiggins
2015-11-29,20-279,MIN,AWAY,LAC,L (-8),1,37:58,.581,.533,0.0,6.5,3.2,9.0,1.3,2.4,18.1,26.8,96,114,11.0,-1.7,Andrew Wiggins
2015-12-01,20-281,MIN,HOME,ORL,L (-3),1,36:15,.680,.633,2.9,8.8,5.9,15.5,0.0,1.9,9.2,27.1,130,109,19.4,6.8,Andrew Wiggins
2015-12-05,20-285,MIN,HOME,POR,L (-6),1,40:12,.482,.400,2.7,11.9,7.0,0.0,0.0,2.1,5.4,20.5,102,117,8.9,-5.5,Andrew Wiggins
2015-12-07,20-287,MIN,HOME,LAC,L (-4),1,30:44,.233,.233,11.4,13.0,12.3,0.0,1.6,2.6,10.4,26.0,56,110,-1.5,-13.9,Andrew Wiggins
2015-12-09,20-289,MIN,HOME,LAL,W (+1),1,36:07,.522,.438,0.0,0.0,0.0,8.2,0.0,0.0,5.2,23.4,112,125,11.0,-6.1,Andrew Wiggins
2015-12-11,20-291,MIN,AWAY,DEN,L (-3),1,34:37,.536,.471,0.0,10.7,4.9,5.9,1.5,2.6,12.8,32.8,94,110,11.2,-4.2,Andrew Wiggins
2015-12-13,20-293,MIN,AWAY,PHO,L (-7),1,27:27,.587,.500,0.0,8.5,4.6,6.7,0.0,0.0,21.3,22.0,96,118,5.7,-6.7,Andrew Wiggins
2015-12-15,20-295,MIN,HOME,DEN,L (-12),1,33:52,.599,.559,0.0,4.6,2.0,6.1,0.0,2.6,13.5,31.6,104,134,11.8,-4.3,Andrew Wiggins
2015-12-16,20-296,MIN,AWAY,NYK,L (-5),1,37:28,.459,.364,4.9,8.0,6.4,4.0,1.3,2.0,7.4,30.4,99,116,12.3,-4.2,Andrew Wiggins
2015-12-18,20-298,MIN,HOME,SAC,W (+4),1,36:25,.656,.575,17.8,15.3,16.5,32.3,0.0,0.0,14.1,35.0,131,108,26.4,10.3,Andrew Wiggins
2015-12-20,20-300,MIN,AWAY,BRK,W (+15),1,31:38,.587,.545,7.6,3.4,5.4,0.0,1.6,2.7,18.0,24.4,97,94,9.1,-5.0,Andrew Wiggins
2015-12-21,20-301,MIN,AWAY,BOS,L (-14),1,33:53,.607,.500,0.0,10.1,4.9,0.0,0.0,0.0,12.3,32.9,106,122,13.2,-5.0,Andrew Wiggins
2015-12-23,20-303,MIN,HOME,SAS,L (-25),1,31:04,.334,.182,0.0,0.0,0.0,23.0,0.0,0.0,11.8,27.3,73,131,2.3,-9.9,Andrew Wiggins
2015-12-26,20-306,MIN,HOME,IND,L (-14),1,37:40,.492,.500,10.1,0.0,5.3,5.4,1.4,0.0,4.9,24.9,101,117,11.6,-2.9,Andrew Wiggins
2015-12-28,20-308,MIN,AWAY,SAS,L (-6),1,37:22,.418,.444,6.9,16.6,11.3,4.5,2.7,0.0,12.2,29.3,77,107,7.3,-5.2,Andrew Wiggins
2015-12-30,20-310,MIN,HOME,UTA,W (+14),1,40:49,.414,.353,8.4,7.2,7.8,16.3,1.4,0.0,0.0,24.4,107,99,12.3,-2.7,Andrew Wiggins
2015-12-31,20-311,MIN,AWAY,DET,L (-25),1,34:51,.506,.447,0.0,9.8,4.7,5.7,4.1,0.0,8.8,28.7,91,112,12.7,0.6,Andrew Wiggins
2016-01-02,20-313,MIN,HOME,MIL,L (-10),1,35:01,.453,.412,5.2,13.1,8.7,5.9,4.6,2.3,16.0,30.9,84,101,10.5,-0.8,Andrew Wiggins
2016-01-04,20-315,MIN,AWAY,PHI,L (-10),1,25:06,.597,.444,0.0,17.4,9.0,12.2,2.1,5.7,18.3,31.5,104,115,11.0,-2.0,Andrew Wiggins
