SEASON,AGE,TEAM,LEAGUE,POS,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PLAYER
1998-99,35.0,IND,NBA,SF,50.0,50.0,1179.0,5.4,11.3,0.477,2.2,4.8,0.465,3.2,6.5,0.486,2.4,2.8,0.87,0.8,4.1,4.9,2.5,1.4,0.4,1.8,3.1,15.5,Chris Mullin
1999-00,36.0,IND,NBA,SG,47.0,2.0,582.0,4.9,11.6,0.428,2.8,6.8,0.409,2.2,4.8,0.455,2.3,2.5,0.902,0.9,3.8,4.7,2.3,1.7,0.6,1.7,3.7,15.0,Chris Mullin
2000-01,37.0,GSW,NBA,SF,20.0,8.0,374.0,3.5,10.2,0.34,1.8,5.0,0.365,1.6,5.2,0.315,2.3,2.7,0.857,1.0,3.0,3.9,1.8,1.5,1.0,1.8,2.7,11.1,Chris Mullin
2000-01,22.0,GSW,NBA,SF,51.0,35.0,1147.0,5.4,14.0,0.389,0.0,0.2,0.0,5.4,13.8,0.393,3.0,4.4,0.667,2.8,3.1,5.9,1.9,1.4,0.2,1.9,3.5,13.8,Chris Porter
1995-96,22.0,CLE,NBA,SG,79.0,3.0,1150.0,4.6,11.3,0.411,0.8,2.4,0.346,3.8,8.8,0.429,3.1,4.4,0.702,1.1,3.2,4.2,7.3,1.8,0.7,3.6,3.9,13.2,Bob Sura
1996-97,23.0,CLE,NBA,SG,82.0,23.0,2269.0,4.0,9.3,0.431,0.8,2.6,0.323,3.2,6.7,0.473,3.1,5.1,0.614,1.2,3.7,4.9,6.2,1.4,0.5,2.9,3.5,12.0,Bob Sura
1997-98,24.0,CLE,NBA,SG,46.0,4.0,942.0,3.3,8.8,0.377,0.7,2.3,0.317,2.6,6.5,0.398,2.8,5.0,0.565,1.0,2.6,3.6,6.5,1.7,0.3,3.6,4.3,10.2,Bob Sura
1998-99,25.0,CLE,NBA,PG,50.0,6.0,841.0,3.0,9.0,0.333,0.4,1.9,0.2,2.6,7.1,0.37,2.8,4.4,0.631,0.9,3.5,4.4,6.5,2.0,0.6,2.9,4.2,9.2,Bob Sura
1999-00,26.0,CLE,NBA,SG,73.0,45.0,2216.0,5.8,13.2,0.437,2.0,5.4,0.367,3.8,7.8,0.484,2.8,4.1,0.697,0.8,3.9,4.7,4.6,1.5,0.3,2.4,3.3,16.4,Bob Sura
2000-01,27.0,GSW,NBA,SG,53.0,42.0,1684.0,4.3,11.1,0.39,1.0,3.7,0.273,3.3,7.4,0.448,2.9,4.0,0.714,1.2,3.7,4.9,5.2,1.2,0.2,3.4,2.7,12.5,Bob Sura
2001-02,28.0,GSW,NBA,PG,78.0,5.0,1780.0,5.1,11.9,0.424,0.8,2.7,0.316,4.2,9.2,0.455,4.8,6.6,0.72,1.8,3.4,5.2,5.6,1.8,0.3,2.7,3.2,15.7,Bob Sura
2002-03,29.0,GSW,NBA,SG,55.0,0.0,1130.0,4.3,10.4,0.412,0.9,2.7,0.329,3.4,7.7,0.44,3.3,4.7,0.696,1.8,3.5,5.3,5.6,1.4,0.1,2.6,3.4,12.8,Bob Sura
2003-04,30.0,TOT,NBA,SG,80.0,18.0,1663.0,4.4,10.5,0.416,0.5,1.7,0.266,3.9,8.8,0.446,3.7,4.9,0.757,2.2,4.9,7.1,5.0,1.3,0.3,2.3,3.4,12.9,Bob Sura
2003-04,30.0,DET,NBA,SG,53.0,0.0,707.0,3.6,8.8,0.41,0.5,1.8,0.25,3.2,7.0,0.453,2.4,3.5,0.696,1.5,3.7,5.2,4.5,1.9,0.5,2.0,4.4,10.1,Bob Sura
2003-04,30.0,ATL,NBA,SG,27.0,18.0,956.0,4.9,11.7,0.42,0.5,1.6,0.279,4.5,10.1,0.442,4.6,5.9,0.783,2.6,5.8,8.4,5.4,0.9,0.2,2.5,2.7,14.9,Bob Sura
2004-05,31.0,HOU,NBA,PG,61.0,59.0,1922.0,4.0,9.4,0.427,1.0,2.9,0.355,3.0,6.5,0.458,2.6,3.5,0.75,1.5,4.8,6.3,5.9,1.2,0.1,2.8,3.1,11.7,Bob Sura
