DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2016-03-18,25-113,BOS,AWAY,TOR,L (-14),1,33:15,4,13,.308,0,2,.000,0,0,,2,2,4,2,3,1,1,1,8,6.2,-26,Avery Bradley
2016-03-20,25-115,BOS,AWAY,PHI,W (+15),1,38:52,7,13,.538,3,5,.600,3,3,1.000,1,2,3,4,4,1,0,2,20,21.7,+12,Avery Bradley
2016-03-21,25-116,BOS,HOME,ORL,W (+11),1,37:23,9,15,.600,1,4,.250,3,4,.750,1,8,9,3,1,0,3,1,22,17.5,+11,Avery Bradley
2016-03-23,25-118,BOS,HOME,TOR,W (+12),1,36:31,7,14,.500,2,4,.500,0,0,,1,7,8,2,0,0,1,1,16,11.8,+10,Avery Bradley
2016-03-26,25-121,BOS,AWAY,PHO,W (+3),1,31:47,5,16,.313,1,7,.143,4,4,1.000,0,3,3,1,1,0,0,4,15,6.8,-5,Avery Bradley
2016-03-28,25-123,BOS,AWAY,LAC,L (-24),1,30:32,5,11,.455,3,4,.750,0,1,.000,0,1,1,2,3,1,3,0,13,9.3,-19,Avery Bradley
2016-03-31,25-126,BOS,AWAY,POR,L (-7),1,35:00,8,18,.444,0,2,.000,4,4,1.000,2,2,4,2,2,0,1,4,20,13.4,-1,Avery Bradley
2016-04-01,25-127,BOS,AWAY,GSW,W (+3),1,34:54,5,12,.417,1,5,.200,4,6,.667,1,2,3,4,2,1,0,3,15,13.4,+2,Avery Bradley
2016-04-06,25-132,BOS,HOME,NOP,W (+7),1,34:00,5,15,.333,1,6,.167,2,3,.667,1,5,6,3,3,0,1,0,13,10.4,+15,Avery Bradley
2016-04-08,25-134,BOS,HOME,MIL,W (+15),1,25:08,6,10,.600,2,3,.667,2,4,.500,1,1,2,2,0,0,1,1,16,11.6,+11,Avery Bradley
2016-04-09,25-135,BOS,AWAY,ATL,L (-11),1,34:53,6,17,.353,2,7,.286,1,2,.500,1,3,4,2,3,1,0,4,15,10.2,-6,Avery Bradley
2016-04-11,25-137,BOS,HOME,CHO,L (-14),1,24:23,7,12,.583,3,5,.600,0,0,,0,2,2,1,0,0,1,4,17,10.1,0,Avery Bradley
2016-04-13,25-139,BOS,HOME,MIA,W (+10),1,30:39,8,12,.667,1,2,.500,0,0,,1,6,7,0,1,0,1,2,17,13.5,+2,Avery Bradley
2016-03-15,23-255,BOS,AWAY,IND,L (-5),0,3:16,1,3,.333,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,3,1.6,-1,Coty Clarke
2016-03-16,23-256,BOS,HOME,OKC,L (-21),0,0:02,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,0,Coty Clarke
2016-03-18,23-258,BOS,AWAY,TOR,L (-14),0,2:30,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,2.7,+5,Coty Clarke
2015-10-28,25-114,BOS,HOME,PHI,W (+17),1,31:12,4,7,.571,2,4,.500,4,4,1.000,2,4,6,3,2,0,3,3,14,13.2,-4,Jae Crowder
2015-10-30,25-116,BOS,HOME,TOR,L (-10),1,33:55,1,6,.167,0,2,.000,5,6,.833,1,3,4,4,3,1,2,3,7,7.7,-7,Jae Crowder
2015-11-01,25-118,BOS,HOME,SAS,L (-8),1,22:59,3,9,.333,1,5,.200,0,0,,1,3,4,1,3,1,4,4,7,2.3,-10,Jae Crowder
2015-11-04,25-121,BOS,AWAY,IND,L (-2),1,32:55,3,5,.600,1,2,.500,5,8,.625,0,6,6,1,2,0,2,1,12,10.6,-7,Jae Crowder
2015-11-06,25-123,BOS,HOME,WAS,W (+20),1,28:14,4,12,.333,0,3,.000,4,5,.800,3,7,10,2,5,1,1,0,12,15.1,+9,Jae Crowder
2015-11-10,25-127,BOS,AWAY,MIL,W (+16),1,36:53,3,12,.250,2,7,.286,4,5,.800,0,2,2,2,4,0,1,3,12,8.2,+13,Jae Crowder
2015-11-11,25-128,BOS,HOME,IND,L (-11),1,26:18,1,5,.200,1,3,.333,2,2,1.000,0,5,5,2,5,0,4,5,5,3.8,+5,Jae Crowder
2015-11-13,25-130,BOS,HOME,ATL,W (+13),1,38:21,6,15,.400,1,5,.200,2,2,1.000,6,2,8,1,4,1,0,2,15,16.3,+19,Jae Crowder
2015-11-15,25-132,BOS,AWAY,OKC,W (+15),1,24:50,4,9,.444,1,3,.333,1,1,1.000,1,2,3,0,0,1,2,1,10,4.9,-2,Jae Crowder
2015-11-16,25-133,BOS,AWAY,HOU,W (+16),1,28:06,7,10,.700,1,3,.333,1,1,1.000,1,2,3,0,2,0,1,2,16,13.3,+24,Jae Crowder
2015-11-18,25-135,BOS,HOME,DAL,L (-4),1,34:32,4,9,.444,2,3,.667,4,4,1.000,1,5,6,3,1,0,2,1,14,12.2,-1,Jae Crowder
2015-11-20,25-137,BOS,HOME,BRK,W (+25),1,28:14,8,12,.667,3,6,.500,0,0,,2,3,5,2,3,0,1,1,19,19.1,+19,Jae Crowder
2015-11-22,25-139,BOS,AWAY,BRK,L (-10),1,25:43,2,4,.500,1,3,.333,0,0,,0,2,2,2,0,0,2,4,5,1.4,-15,Jae Crowder
2015-11-24,25-141,BOS,AWAY,ATL,L (-24),1,25:45,3,11,.273,0,3,.000,0,0,,1,2,3,2,0,0,0,2,6,1.4,-20,Jae Crowder
2015-11-25,25-142,BOS,HOME,PHI,W (+4),1,27:27,3,11,.273,2,5,.400,0,2,.000,3,5,8,2,2,1,2,0,8,6.4,0,Jae Crowder
2015-11-27,25-144,BOS,HOME,WAS,W (+33),1,29:40,4,8,.500,3,5,.600,6,6,1.000,1,4,5,3,0,0,1,0,17,16.0,+32,Jae Crowder
2015-11-29,25-146,BOS,AWAY,ORL,L (-19),1,32:57,5,11,.455,0,5,.000,2,3,.667,0,1,1,3,1,1,0,0,12,10.0,-5,Jae Crowder
2015-11-30,25-147,BOS,AWAY,MIA,W (+10),1,31:44,4,8,.500,1,2,.500,4,4,1.000,2,3,5,1,4,0,2,5,13,12.0,+23,Jae Crowder
2015-12-03,25-150,BOS,AWAY,SAC,W (+17),1,30:33,5,12,.417,4,9,.444,6,6,1.000,0,3,3,6,2,0,2,1,20,18.3,+7,Jae Crowder
2015-12-05,25-152,BOS,AWAY,SAS,L (-3),1,35:04,5,5,1.000,3,3,1.000,2,2,1.000,0,3,3,3,1,0,3,4,15,12.9,-1,Jae Crowder
2015-12-07,25-154,BOS,AWAY,NOP,W (+18),1,34:52,5,10,.500,2,6,.333,5,5,1.000,0,1,1,1,0,3,2,1,17,12.7,+21,Jae Crowder
2015-12-09,25-156,BOS,HOME,CHI,W (+5),1,32:32,5,10,.500,1,3,.333,2,2,1.000,0,3,3,0,3,0,1,5,13,8.9,-2,Jae Crowder
2015-12-11,25-158,BOS,HOME,GSW,L (-5),1,47:47,5,14,.357,3,6,.500,2,4,.500,1,4,5,3,1,2,2,3,15,9.6,-6,Jae Crowder
2015-12-12,25-159,BOS,AWAY,CHO,W (+5),1,31:44,5,15,.333,3,10,.300,3,3,1.000,0,7,7,1,0,0,0,1,16,9.9,+20,Jae Crowder
2015-12-15,25-162,BOS,HOME,CLE,L (-12),1,27:35,5,13,.385,4,9,.444,0,0,,0,3,3,0,1,2,1,3,14,8.0,-10,Jae Crowder
2015-12-16,25-163,BOS,AWAY,DET,L (-3),1,31:30,3,9,.333,1,3,.333,2,2,1.000,1,6,7,1,2,0,0,6,9,6.7,-6,Jae Crowder
2015-12-18,25-165,BOS,HOME,ATL,L (-8),1,36:50,8,13,.615,3,7,.429,5,5,1.000,1,9,10,0,0,0,3,6,24,16.1,-7,Jae Crowder
2015-12-21,25-168,BOS,HOME,MIN,W (+14),1,30:14,8,13,.615,2,4,.500,0,3,.000,0,10,10,2,0,2,1,1,18,15.3,+18,Jae Crowder
2015-12-23,25-170,BOS,AWAY,CHO,W (+13),1,37:16,8,16,.500,0,5,.000,3,4,.750,1,11,12,0,0,1,0,3,19,14.1,+13,Jae Crowder
2015-12-26,25-173,BOS,AWAY,DET,W (+6),1,35:43,5,11,.455,0,4,.000,1,2,.500,2,5,7,2,1,0,2,3,11,7.0,+11,Jae Crowder
2015-12-27,25-174,BOS,HOME,NYK,W (+9),1,34:20,6,11,.545,3,5,.600,3,5,.600,1,5,6,2,1,0,1,2,18,14.7,+13,Jae Crowder
2015-12-30,25-177,BOS,HOME,LAL,L (-8),1,36:21,4,14,.286,2,9,.222,7,7,1.000,2,3,5,1,3,0,1,2,17,13.0,-3,Jae Crowder
2016-01-02,25-180,BOS,HOME,BRK,L (-3),1,30:46,5,13,.385,2,6,.333,4,5,.800,2,5,7,3,2,0,2,5,16,11.5,-10,Jae Crowder
2016-01-04,25-182,BOS,AWAY,BRK,W (+9),1,34:48,8,13,.615,2,4,.500,7,8,.875,1,5,6,1,3,1,0,2,25,24.5,+8,Jae Crowder
2016-01-06,25-184,BOS,HOME,DET,L (-5),1,36:08,5,10,.500,2,6,.333,4,4,1.000,1,3,4,0,2,0,2,5,16,10.6,+1,Jae Crowder
2016-01-07,25-185,BOS,AWAY,CHI,L (-9),1,39:06,6,17,.353,1,4,.250,4,7,.571,3,1,4,4,3,1,0,3,17,14.0,-7,Jae Crowder
2016-01-10,25-188,BOS,AWAY,MEM,L (-3),1,30:25,4,11,.364,2,6,.333,0,0,,0,2,2,2,4,0,2,4,10,6.3,+6,Jae Crowder
2016-01-12,25-190,BOS,AWAY,NYK,L (-6),1,33:32,6,10,.600,3,6,.500,6,7,.857,0,8,8,1,0,1,1,1,21,18.4,-8,Jae Crowder
2016-01-13,25-191,BOS,HOME,IND,W (+9),1,36:02,11,15,.733,3,6,.500,0,0,,0,2,2,0,2,0,3,4,25,16.9,+14,Jae Crowder
2016-01-15,25-193,BOS,HOME,PHO,W (+14),1,29:09,5,13,.385,2,5,.400,5,6,.833,2,4,6,5,3,2,2,2,17,17.2,+23,Jae Crowder
2016-01-16,25-194,BOS,AWAY,WAS,W (+2),1,33:33,9,18,.500,2,5,.400,2,3,.667,2,6,8,6,0,0,0,1,22,19.6,0,Jae Crowder
2016-01-18,25-196,BOS,AWAY,DAL,L (-5),1,38:17,3,13,.231,0,3,.000,6,7,.857,1,6,7,1,1,0,0,4,12,6.3,-10,Jae Crowder
2016-01-20,25-198,BOS,AWAY,TOR,L (-6),1,31:56,7,11,.636,3,5,.600,0,0,,1,4,5,4,2,0,1,2,17,17.0,-14,Jae Crowder
2016-01-22,25-200,BOS,HOME,CHI,W (+9),1,33:33,3,10,.300,1,2,.500,0,0,,1,1,2,1,3,2,0,4,7,5.7,-8,Jae Crowder
2016-01-24,25-202,BOS,AWAY,PHI,W (+20),1,32:23,7,12,.583,4,6,.667,2,2,1.000,0,2,2,1,2,0,0,1,20,17.3,+27,Jae Crowder
2016-01-25,25-203,BOS,AWAY,WAS,W (+25),1,28:27,5,12,.417,1,5,.200,0,0,,1,4,5,1,0,0,1,2,11,5.4,+13,Jae Crowder
2016-01-27,25-205,BOS,HOME,DEN,W (+8),1,31:35,4,13,.308,1,6,.167,4,4,1.000,0,4,4,3,2,2,0,2,13,11.4,+9,Jae Crowder
2016-01-29,25-207,BOS,HOME,ORL,W (+19),1,27:24,6,11,.545,3,6,.500,0,0,,0,4,4,2,1,1,0,2,15,13.2,+2,Jae Crowder
2016-01-31,25-209,BOS,AWAY,ORL,L (-5),1,25:24,2,8,.250,1,6,.167,0,0,,0,3,3,1,1,0,0,0,5,2.8,-14,Jae Crowder
2016-02-02,25-211,BOS,AWAY,NYK,W (+8),1,28:02,6,10,.600,1,4,.250,3,4,.750,0,5,5,0,1,0,0,4,16,11.9,+1,Jae Crowder
2016-02-03,25-212,BOS,HOME,DET,W (+7),1,31:11,5,12,.417,0,3,.000,2,3,.667,0,6,6,0,4,0,0,5,12,9.0,0,Jae Crowder
2016-02-05,25-214,BOS,AWAY,CLE,W (+1),1,32:12,1,9,.111,1,5,.200,0,0,,2,5,7,2,0,0,0,5,3,-0.6,-2,Jae Crowder
2016-02-07,25-216,BOS,HOME,SAC,W (+9),1,31:16,3,7,.429,0,2,.000,0,0,,0,4,4,3,2,0,3,1,6,4.2,+11,Jae Crowder
2016-02-09,25-218,BOS,AWAY,MIL,L (-1),1,31:34,7,12,.583,3,6,.500,1,1,1.000,0,5,5,2,2,0,0,1,18,16.9,+15,Jae Crowder
2016-02-10,25-219,BOS,HOME,LAC,W (+5),1,37:53,5,11,.455,3,8,.375,6,7,.857,1,7,8,3,1,1,0,6,19,17.1,-7,Jae Crowder
2016-02-19,25-228,BOS,AWAY,UTA,L (-18),1,35:00,6,11,.545,1,3,.333,4,4,1.000,0,4,4,2,0,0,0,6,17,11.9,-15,Jae Crowder
2016-02-21,25-230,BOS,AWAY,DEN,W (+20),1,30:32,4,10,.400,1,4,.250,4,5,.800,0,4,4,3,3,0,2,2,13,10.7,+15,Jae Crowder
2016-02-22,25-231,BOS,AWAY,MIN,L (-2),1,36:30,9,15,.600,4,6,.667,5,5,1.000,1,8,9,3,2,0,1,3,27,25.1,-4,Jae Crowder
2016-02-25,25-234,BOS,HOME,MIL,W (+5),1,23:29,8,10,.800,2,3,.667,2,2,1.000,0,8,8,2,0,0,4,5,20,14.0,+14,Jae Crowder
2016-02-27,25-236,BOS,HOME,MIA,W (+12),1,33:07,6,15,.400,0,6,.000,2,3,.667,1,3,4,2,5,0,0,3,14,12.3,+5,Jae Crowder
2016-02-29,25-238,BOS,HOME,UTA,W (+5),1,33:44,7,12,.583,3,5,.600,5,7,.714,0,3,3,4,2,1,0,1,22,21.6,+7,Jae Crowder
2016-03-02,25-240,BOS,HOME,POR,W (+23),1,28:58,4,12,.333,2,7,.286,2,2,1.000,0,6,6,1,0,0,0,2,12,6.9,+22,Jae Crowder
2016-03-04,25-242,BOS,HOME,NYK,W (+1),1,34:51,9,19,.474,1,6,.167,1,4,.250,4,4,8,2,1,0,1,3,20,13.3,+7,Jae Crowder
2016-03-05,25-243,BOS,AWAY,CLE,L (-17),1,36:56,3,11,.273,2,6,.333,4,4,1.000,1,3,4,1,4,1,2,3,12,9.3,-5,Jae Crowder
2016-03-09,25-247,BOS,HOME,MEM,W (+20),1,21:41,5,12,.417,3,6,.500,2,2,1.000,1,1,2,1,2,1,1,4,15,10.4,-1,Jae Crowder
2016-03-11,25-249,BOS,HOME,HOU,L (-4),1,21:21,1,8,.125,0,6,.000,2,2,1.000,1,3,4,1,1,1,1,1,4,1.4,-3,Jae Crowder
2016-03-31,25-269,BOS,AWAY,POR,L (-7),1,34:35,5,11,.455,2,8,.250,1,3,.333,3,7,10,2,2,0,1,3,13,11.9,-5,Jae Crowder
2016-04-01,25-270,BOS,AWAY,GSW,W (+3),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Jae Crowder
2016-04-03,25-272,BOS,AWAY,LAL,W (+7),1,30:46,6,18,.333,2,8,.250,8,9,.889,0,5,5,4,5,0,2,5,22,16.7,+8,Jae Crowder
2016-04-06,25-275,BOS,HOME,NOP,W (+7),1,34:25,4,13,.308,2,8,.250,4,4,1.000,1,2,3,1,0,2,0,3,14,8.7,0,Jae Crowder
2016-04-08,25-277,BOS,HOME,MIL,W (+15),1,14:15,2,7,.286,1,4,.250,4,5,.800,0,2,2,0,0,0,0,3,9,3.9,+3,Jae Crowder
2016-04-09,25-278,BOS,AWAY,ATL,L (-11),1,34:19,5,11,.455,1,5,.200,5,7,.714,2,5,7,2,2,0,1,2,16,14.0,-14,Jae Crowder
2016-04-11,25-280,BOS,HOME,CHO,L (-14),1,21:12,1,4,.250,0,1,.000,0,0,,0,2,2,0,0,1,0,0,2,0.9,-17,Jae Crowder
