DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2019-02-22,28-047,DEN,AWAY,DAL,W (+10),1,27:55,4,8,.500,2,3,.667,0,0,,0,4,4,4,2,0,0,2,10,11.2,+8,Will Barton
2019-02-24,28-049,DEN,HOME,LAC,W (+27),1,24:26,1,6,.167,1,4,.250,0,0,,0,3,3,2,0,0,2,2,3,-1.3,+13,Will Barton
2019-02-26,28-051,DEN,HOME,OKC,W (+9),1,32:56,9,16,.563,1,4,.250,4,4,1.000,1,2,3,5,0,0,1,5,23,17.2,+17,Will Barton
2019-02-28,28-053,DEN,HOME,UTA,L (-7),1,37:33,7,16,.438,1,2,.500,6,6,1.000,2,11,13,3,1,2,1,3,21,19.6,-2,Will Barton
2019-03-02,28-055,DEN,HOME,NOP,L (-8),1,32:06,3,11,.273,2,6,.333,0,0,,1,7,8,3,1,1,4,1,8,3.7,-4,Will Barton
2019-03-04,28-057,DEN,AWAY,SAS,L (-1),1,32:14,5,10,.500,2,6,.333,0,0,,0,6,6,1,0,1,2,1,12,7.8,+4,Will Barton
2019-03-06,28-059,DEN,AWAY,LAL,W (+16),1,33:01,8,16,.500,5,11,.455,2,3,.667,1,3,4,5,0,1,1,1,23,19.0,+28,Will Barton
2019-03-08,28-061,DEN,AWAY,GSW,L (-17),1,25:43,2,11,.182,1,4,.250,0,0,,1,8,9,0,2,0,3,1,5,-0.2,-30,Will Barton
2019-03-12,28-065,DEN,HOME,MIN,W (+26),1,31:25,2,9,.222,0,3,.000,2,2,1.000,0,5,5,5,1,0,2,0,6,4.5,+13,Will Barton
2019-03-14,28-067,DEN,HOME,DAL,W (+1),1,27:05,4,9,.444,1,4,.250,2,3,.667,0,2,2,1,1,2,0,3,11,8.4,-17,Will Barton
2019-03-16,28-069,DEN,HOME,IND,W (+2),1,34:52,5,10,.500,4,9,.444,3,4,.750,1,5,6,5,2,0,1,2,17,17.5,0,Will Barton
2019-03-18,28-071,DEN,AWAY,BOS,W (+9),1,31:52,9,17,.529,2,7,.286,0,0,,0,4,4,2,0,0,5,2,20,8.5,+3,Will Barton
2019-03-21,28-074,DEN,AWAY,WAS,W (+5),1,19:51,5,10,.500,1,3,.333,2,2,1.000,1,3,4,1,0,0,1,4,13,7.7,-18,Will Barton
2019-03-22,28-075,DEN,AWAY,NYK,W (+18),1,31:36,4,13,.308,2,6,.333,2,2,1.000,1,7,8,2,1,1,1,1,12,9.0,+16,Will Barton
2019-03-24,28-077,DEN,AWAY,IND,L (-36),1,24:06,6,13,.462,3,5,.600,0,0,,2,1,3,1,0,0,4,3,15,5.5,-16,Will Barton
2019-03-26,28-079,DEN,HOME,DET,W (+3),1,33:14,4,13,.308,2,6,.333,0,1,.000,1,6,7,1,1,0,0,2,10,5.5,+4,Will Barton
2019-03-28,28-081,DEN,AWAY,HOU,L (-27),1,28:43,1,6,.167,0,2,.000,0,0,,0,1,1,4,0,0,1,2,2,-0.5,-8,Will Barton
2019-03-29,28-082,DEN,AWAY,OKC,W (+10),1,24:29,5,8,.625,2,3,.667,0,0,,0,0,0,1,0,0,3,5,12,4.1,+3,Will Barton
2019-03-31,28-084,DEN,HOME,WAS,L (-5),1,29:19,4,15,.267,2,10,.200,0,1,.000,0,4,4,4,0,2,1,1,10,4.7,+4,Will Barton
2019-04-02,28-086,DEN,AWAY,GSW,L (-14),1,25:36,5,12,.417,0,2,.000,0,2,.000,2,4,6,1,0,0,2,1,10,3.7,-17,Will Barton
2019-04-03,28-087,DEN,HOME,SAS,W (+28),1,23:21,4,9,.444,3,6,.500,0,0,,0,1,1,2,0,0,0,1,11,7.6,+8,Will Barton
2019-04-05,28-089,DEN,HOME,POR,W (+9),1,22:53,2,7,.286,0,3,.000,0,1,.000,0,1,1,1,0,1,1,0,4,0.2,-7,Will Barton
2019-04-07,28-091,DEN,AWAY,POR,L (-7),1,22:34,3,9,.333,1,4,.250,2,2,1.000,0,6,6,3,0,0,1,2,9,6.0,-3,Will Barton
2019-04-09,28-093,DEN,AWAY,UTA,L (-10),1,20:44,0,3,.000,0,1,.000,0,0,,0,2,2,1,0,0,0,0,0,-0.8,-15,Will Barton
2019-04-10,28-094,DEN,HOME,MIN,W (+4),1,32:53,4,10,.400,1,4,.250,1,2,.500,1,8,9,4,1,1,1,1,10,10.4,+9,Will Barton
2018-10-17,21-325,DEN,AWAY,LAC,W (+9),0,11:45,2,6,.333,1,3,.333,0,0,,0,1,1,1,0,0,1,1,5,1.2,+1,Malik Beasley
2018-10-20,21-328,DEN,HOME,PHO,W (+28),0,7:34,1,2,.500,0,1,.000,0,0,,0,2,2,0,1,0,0,3,2,1.4,-5,Malik Beasley
2018-10-21,21-329,DEN,HOME,GSW,W (+2),0,11:14,1,2,.500,0,0,,0,0,,1,1,2,0,1,0,1,1,2,1.6,-6,Malik Beasley
2018-10-23,21-331,DEN,HOME,SAC,W (+14),0,19:29,5,10,.500,1,3,.333,0,0,,0,1,1,0,0,1,0,1,11,6.6,-13,Malik Beasley
2018-10-25,21-333,DEN,AWAY,LAL,L (-7),0,10:32,2,2,1.000,0,0,,0,0,,0,2,2,0,0,0,0,0,4,4.0,+6,Malik Beasley
2018-10-29,21-337,DEN,HOME,NOP,W (+5),0,31:27,5,9,.556,2,6,.333,0,0,,0,6,6,2,0,0,1,1,12,9.5,+10,Malik Beasley
2018-10-31,21-339,DEN,AWAY,CHI,W (+1),0,30:31,3,9,.333,0,3,.000,0,0,,1,4,5,0,1,0,2,1,6,1.4,+2,Malik Beasley
2018-11-01,21-340,DEN,AWAY,CLE,W (+19),0,23:58,2,8,.250,1,4,.250,0,0,,0,0,0,4,0,0,1,2,5,1.2,+9,Malik Beasley
2018-11-03,21-342,DEN,HOME,UTA,W (+15),0,18:34,4,8,.500,3,5,.600,1,1,1.000,0,0,0,2,0,0,1,3,12,7.2,+20,Malik Beasley
2018-11-05,21-344,DEN,HOME,BOS,W (+8),0,21:53,2,9,.222,1,5,.200,0,0,,0,3,3,0,0,0,2,2,5,-2.4,+13,Malik Beasley
2018-11-07,21-346,DEN,AWAY,MEM,L (-2),0,6:08,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-4,Malik Beasley
2018-11-09,21-348,DEN,HOME,BRK,L (-2),0,22:05,3,5,.600,2,3,.667,0,0,,0,3,3,1,0,0,0,2,8,6.5,+1,Malik Beasley
2018-11-11,21-350,DEN,HOME,MIL,L (-7),0,21:54,4,8,.500,2,4,.500,0,0,,0,4,4,0,1,0,1,2,10,6.4,-2,Malik Beasley
2018-11-13,21-352,DEN,HOME,HOU,L (-10),0,6:29,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,1,0,0,0,1.0,-6,Malik Beasley
2018-11-15,21-354,DEN,HOME,ATL,W (+45),0,23:36,6,14,.429,1,5,.200,2,3,.667,1,2,3,3,1,0,1,2,15,9.8,+6,Malik Beasley
2018-11-17,21-356,DEN,AWAY,NOP,L (-10),0,13:52,2,5,.400,0,3,.000,0,0,,0,2,2,0,0,0,1,0,4,0.9,-3,Malik Beasley
2018-11-19,21-358,DEN,AWAY,MIL,L (-6),0,22:26,4,7,.571,4,7,.571,0,0,,0,4,4,2,1,0,0,0,12,12.3,-1,Malik Beasley
2018-11-21,21-360,DEN,AWAY,MIN,W (+2),0,14:15,4,5,.800,3,3,1.000,0,0,,0,2,2,0,0,0,0,3,11,8.5,-11,Malik Beasley
2018-11-23,21-362,DEN,HOME,ORL,W (+25),0,15:19,2,3,.667,1,2,.500,0,0,,1,0,1,1,1,0,0,1,5,5.7,+13,Malik Beasley
2018-11-24,21-363,DEN,AWAY,OKC,W (+7),0,12:43,2,6,.333,1,3,.333,0,0,,0,3,3,0,0,0,0,2,5,1.7,+8,Malik Beasley
2018-11-27,22-001,DEN,HOME,LAL,W (+32),0,35:52,8,14,.571,2,6,.333,2,2,1.000,0,4,4,0,2,0,0,0,20,16.6,+21,Malik Beasley
2018-11-30,22-004,DEN,AWAY,POR,W (+1),0,13:15,1,2,.500,1,1,1.000,0,0,,0,0,0,0,1,0,0,1,3,2.6,-6,Malik Beasley
2018-12-03,22-007,DEN,AWAY,TOR,W (+3),0,26:35,6,8,.750,3,3,1.000,0,0,,1,1,2,1,0,0,0,0,15,13.5,+11,Malik Beasley
2018-12-05,22-009,DEN,AWAY,ORL,W (+6),0,30:54,3,6,.500,2,3,.667,0,0,,0,4,4,1,0,0,1,3,8,4.7,+10,Malik Beasley
2018-12-07,22-011,DEN,AWAY,CHO,L (-6),0,32:47,5,13,.385,4,10,.400,2,2,1.000,2,5,7,2,0,0,1,2,16,11.4,-4,Malik Beasley
2018-12-08,22-012,DEN,AWAY,ATL,L (-8),0,23:05,7,16,.438,3,9,.333,2,2,1.000,0,1,1,0,2,0,0,0,19,12.9,-10,Malik Beasley
2018-12-10,22-014,DEN,HOME,MEM,W (+6),0,15:25,3,7,.429,1,3,.333,0,0,,0,0,0,3,0,0,0,1,7,5.0,+2,Malik Beasley
2018-12-14,22-018,DEN,HOME,OKC,W (+11),0,15:39,0,5,.000,0,4,.000,0,0,,1,1,2,1,1,0,2,1,0,-3.2,0,Malik Beasley
2018-12-16,22-020,DEN,HOME,TOR,W (+9),0,15:19,2,5,.400,1,2,.500,1,2,.500,2,3,5,1,0,1,0,1,6,6.2,+6,Malik Beasley
2018-12-18,22-022,DEN,HOME,DAL,W (+8),0,26:30,5,8,.625,2,4,.500,0,0,,1,0,1,4,1,0,1,5,12,9.9,+12,Malik Beasley
2018-12-22,22-026,DEN,AWAY,LAC,L (-21),0,28:09,5,14,.357,0,3,.000,1,1,1.000,2,2,4,1,5,0,0,3,11,9.7,-8,Malik Beasley
2018-12-26,22-030,DEN,AWAY,SAS,L (-8),0,30:18,8,19,.421,4,12,.333,2,2,1.000,1,6,7,3,1,0,0,2,22,16.7,-7,Malik Beasley
2018-12-28,22-032,DEN,HOME,SAS,W (+3),0,25:44,7,11,.636,2,3,.667,5,5,1.000,0,3,3,1,0,0,0,0,21,17.7,+8,Malik Beasley
2018-12-29,22-033,DEN,AWAY,PHO,W (+4),0,28:42,5,12,.417,5,9,.556,0,0,,1,0,1,2,2,0,2,2,15,9.9,-12,Malik Beasley
2019-01-01,22-036,DEN,HOME,NYK,W (+7),0,29:56,8,15,.533,5,9,.556,2,2,1.000,0,6,6,5,1,0,0,0,23,22.0,+11,Malik Beasley
2019-01-03,22-038,DEN,AWAY,SAC,W (+4),0,25:02,3,9,.333,1,4,.250,0,0,,0,3,3,0,0,1,0,3,7,2.3,-3,Malik Beasley
2019-01-05,22-040,DEN,HOME,CHO,W (+13),0,22:29,2,4,.500,0,2,.000,0,0,,0,2,2,0,0,1,0,3,4,2.1,-1,Malik Beasley
2019-01-07,22-042,DEN,AWAY,HOU,L (-12),0,26:17,6,11,.545,2,7,.286,0,0,,0,3,3,1,1,0,0,2,14,10.5,+2,Malik Beasley
2019-01-08,22-043,DEN,AWAY,MIA,W (+4),1,36:16,4,9,.444,1,6,.167,0,0,,0,1,1,2,0,0,3,4,9,1.4,+6,Malik Beasley
2019-01-10,22-045,DEN,HOME,LAC,W (+21),1,31:02,6,10,.600,3,5,.600,0,0,,1,0,1,5,2,1,0,0,15,17.3,+13,Malik Beasley
2019-01-12,22-047,DEN,AWAY,PHO,L (-9),1,40:04,8,14,.571,5,9,.556,0,0,,0,1,1,1,0,0,2,2,21,12.6,+2,Malik Beasley
2019-01-13,22-048,DEN,HOME,POR,W (+3),1,37:19,5,9,.556,3,5,.600,0,0,,0,1,1,3,2,0,1,2,13,11.3,+9,Malik Beasley
2019-01-15,22-050,DEN,HOME,GSW,L (-31),1,32:44,8,14,.571,6,10,.600,0,0,,0,1,1,0,0,0,0,0,22,15.7,-15,Malik Beasley
2019-01-17,22-052,DEN,HOME,CHI,W (+30),1,33:54,5,7,.714,2,3,.667,1,1,1.000,2,7,9,1,0,0,1,1,13,12.9,+26,Malik Beasley
2019-01-19,22-054,DEN,HOME,CLE,W (+22),1,30:55,5,8,.625,3,6,.500,0,0,,2,2,4,1,0,0,1,2,13,10.3,+10,Malik Beasley
2019-01-23,22-058,DEN,AWAY,UTA,L (-6),0,7:48,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+9,Malik Beasley
2019-01-25,22-060,DEN,HOME,PHO,W (+37),0,22:54,6,11,.545,2,6,.333,5,5,1.000,0,3,3,0,1,0,0,2,19,14.8,+13,Malik Beasley
2019-01-26,22-061,DEN,HOME,PHI,W (+16),0,20:18,6,12,.500,2,5,.400,0,0,,0,1,1,1,1,0,1,2,14,8.2,+2,Malik Beasley
2019-01-28,22-063,DEN,AWAY,MEM,W (+3),0,24:23,7,13,.538,3,9,.333,1,2,.500,0,3,3,3,1,0,0,1,18,14.9,+14,Malik Beasley
2019-01-30,22-065,DEN,AWAY,NOP,W (+6),0,29:27,9,14,.643,4,6,.667,0,1,.000,0,2,2,1,1,0,0,1,22,17.3,0,Malik Beasley
2019-02-01,22-067,DEN,HOME,HOU,W (+14),1,41:26,12,17,.706,5,9,.556,6,7,.857,0,2,2,3,1,0,2,3,35,28.0,+19,Malik Beasley
2019-02-02,22-068,DEN,AWAY,MIN,W (+1),1,28:42,9,14,.643,4,7,.571,0,0,,0,2,2,0,2,0,1,0,22,17.4,-10,Malik Beasley
2019-02-04,22-070,DEN,AWAY,DET,L (-26),1,30:34,6,13,.462,3,5,.600,1,1,1.000,2,1,3,1,1,0,0,3,16,11.5,-21,Malik Beasley
2019-02-06,22-072,DEN,AWAY,BRK,L (-5),1,31:50,7,15,.467,3,8,.375,0,0,,0,2,2,1,1,0,1,2,17,9.8,+4,Malik Beasley
2019-02-08,22-074,DEN,AWAY,PHI,L (-7),1,35:20,5,11,.455,2,6,.333,0,0,,0,3,3,0,0,0,2,2,12,4.4,0,Malik Beasley
2019-02-11,22-077,DEN,HOME,MIA,W (+16),1,27:35,8,13,.615,5,7,.714,2,2,1.000,0,0,0,2,0,0,0,4,23,16.9,+3,Malik Beasley
2019-02-13,22-079,DEN,HOME,SAC,W (+2),1,30:43,8,18,.444,2,7,.286,3,3,1.000,0,4,4,0,1,0,0,0,21,13.8,-4,Malik Beasley
2019-02-22,22-088,DEN,AWAY,DAL,W (+10),1,26:49,4,10,.400,3,7,.429,2,2,1.000,1,2,3,4,1,0,3,2,13,8.9,+5,Malik Beasley
2019-02-24,22-090,DEN,HOME,LAC,W (+27),1,24:31,3,4,.750,2,3,.667,0,0,,2,0,2,1,0,0,0,3,8,7.3,+19,Malik Beasley
2019-02-26,22-092,DEN,HOME,OKC,W (+9),1,25:22,3,6,.500,2,3,.667,0,0,,1,3,4,2,1,0,1,4,8,6.4,+5,Malik Beasley
2019-02-28,22-094,DEN,HOME,UTA,L (-7),1,24:24,3,6,.500,0,2,.000,0,0,,1,3,4,1,0,2,0,0,6,6.7,-4,Malik Beasley
2019-03-02,22-096,DEN,HOME,NOP,L (-8),0,22:08,3,9,.333,2,4,.500,0,0,,1,2,3,1,1,0,0,1,8,5.5,-11,Malik Beasley
2019-03-04,22-098,DEN,AWAY,SAS,L (-1),0,22:06,6,11,.545,2,6,.333,1,1,1.000,0,3,3,3,1,0,0,2,15,12.9,-11,Malik Beasley
2019-03-06,22-100,DEN,AWAY,LAL,W (+16),0,17:29,3,10,.300,2,7,.286,0,0,,1,4,5,1,0,0,1,0,8,3.8,-8,Malik Beasley
2019-03-08,22-102,DEN,AWAY,GSW,L (-17),0,26:47,5,14,.357,5,13,.385,2,2,1.000,0,1,1,0,0,0,1,3,17,7.3,-6,Malik Beasley
2019-03-12,22-106,DEN,HOME,MIN,W (+26),0,20:07,2,4,.500,1,3,.333,0,0,,0,3,3,4,0,0,1,1,5,5.3,+8,Malik Beasley
2019-03-14,22-108,DEN,HOME,DAL,W (+1),0,21:03,5,12,.417,2,7,.286,0,0,,0,1,1,0,0,0,1,2,12,4.1,+12,Malik Beasley
2019-03-16,22-110,DEN,HOME,IND,W (+2),0,19:16,4,6,.667,3,5,.600,0,0,,1,0,1,1,1,0,1,0,11,9.8,-7,Malik Beasley
2019-03-18,22-112,DEN,AWAY,BOS,W (+9),0,18:34,3,11,.273,1,7,.143,0,0,,0,1,1,1,2,0,0,1,7,3.1,+4,Malik Beasley
2019-03-21,22-115,DEN,AWAY,WAS,W (+5),0,20:45,4,9,.444,2,5,.400,0,0,,0,3,3,1,1,0,0,1,10,7.5,+21,Malik Beasley
2019-03-22,22-116,DEN,AWAY,NYK,W (+18),0,22:13,2,10,.200,2,8,.250,2,2,1.000,1,4,5,1,0,1,2,3,8,1.9,+4,Malik Beasley
2019-03-24,22-118,DEN,AWAY,IND,L (-36),0,13:37,1,6,.167,0,3,.000,2,2,1.000,0,1,1,0,1,0,1,0,4,0.5,-13,Malik Beasley
2019-03-28,22-122,DEN,AWAY,HOU,L (-27),0,23:21,1,9,.111,0,7,.000,2,2,1.000,0,2,2,0,1,0,3,1,4,-3.7,-28,Malik Beasley
2019-03-29,22-123,DEN,AWAY,OKC,W (+10),0,13:03,3,8,.375,1,4,.250,0,0,,1,2,3,0,0,0,0,0,7,3.9,+2,Malik Beasley
2019-03-31,22-125,DEN,HOME,WAS,L (-5),0,18:41,2,10,.200,1,5,.200,1,2,.500,1,4,5,1,0,0,0,1,6,1.6,-9,Malik Beasley
2019-04-02,22-127,DEN,AWAY,GSW,L (-14),0,13:29,1,3,.333,1,2,.500,0,0,,0,1,1,0,1,0,2,0,3,0.6,-16,Malik Beasley
2019-04-03,22-128,DEN,HOME,SAS,W (+28),0,24:39,7,14,.500,3,8,.375,2,3,.667,0,1,1,2,1,0,2,0,19,12.3,+20,Malik Beasley
2019-04-05,22-130,DEN,HOME,POR,W (+9),0,17:13,4,7,.571,1,2,.500,0,0,,0,0,0,2,2,0,0,0,9,9.1,+15,Malik Beasley
2019-04-07,22-132,DEN,AWAY,POR,L (-7),0,24:11,6,14,.429,2,6,.333,1,3,.333,2,1,3,2,1,0,1,2,15,9.1,-7,Malik Beasley
2019-04-09,22-134,DEN,AWAY,UTA,L (-10),0,31:20,9,13,.692,5,6,.833,2,3,.667,0,0,0,1,2,1,1,1,25,21.1,-2,Malik Beasley
2019-04-10,22-135,DEN,HOME,MIN,W (+4),0,16:32,3,10,.300,1,7,.143,0,0,,0,2,2,0,0,0,0,0,7,1.8,-9,Malik Beasley
2018-10-20,27-305,DEN,HOME,PHO,W (+28),0,15:10,1,3,.333,0,2,.000,0,0,,0,1,1,1,0,1,1,6,2,-1.4,+22,Torrey Craig
2018-10-21,27-306,DEN,HOME,GSW,W (+2),1,26:35,2,5,.400,1,4,.250,0,0,,4,5,9,2,1,1,0,4,5,8.1,-5,Torrey Craig
2018-10-23,27-308,DEN,HOME,SAC,W (+14),1,22:52,3,5,.600,1,3,.333,0,0,,0,1,1,1,1,0,1,1,7,5.3,+13,Torrey Craig
2018-10-25,27-310,DEN,AWAY,LAL,L (-7),1,26:21,1,5,.200,0,2,.000,0,0,,1,2,3,0,1,1,3,4,2,-2.7,-5,Torrey Craig
2018-10-29,27-314,DEN,HOME,NOP,W (+5),1,9:21,1,4,.250,0,3,.000,0,0,,0,1,1,0,0,0,0,0,2,-0.1,-11,Torrey Craig
2018-10-31,27-316,DEN,AWAY,CHI,W (+1),1,22:29,2,4,.500,0,1,.000,3,4,.750,3,1,4,0,1,0,0,1,7,7.6,-1,Torrey Craig
2018-11-01,27-317,DEN,AWAY,CLE,W (+19),1,18:12,3,5,.600,1,2,.500,0,0,,4,2,6,1,0,0,1,2,7,7.0,+1,Torrey Craig
2018-11-03,27-319,DEN,HOME,UTA,W (+15),1,21:02,2,5,.400,0,2,.000,0,0,,1,5,6,0,2,0,1,1,4,4.1,-6,Torrey Craig
2018-11-05,27-321,DEN,HOME,BOS,W (+8),1,2:44,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-8,Torrey Craig
2018-11-07,27-323,DEN,AWAY,MEM,L (-2),1,19:46,2,5,.400,0,2,.000,1,2,.500,2,1,3,0,0,1,0,2,5,3.5,-4,Torrey Craig
2018-11-09,27-325,DEN,HOME,BRK,L (-2),1,9:12,1,5,.200,1,4,.250,0,0,,0,1,1,1,0,0,0,2,3,0.1,-10,Torrey Craig
2018-11-13,27-329,DEN,HOME,HOU,L (-10),0,7:15,2,2,1.000,1,1,1.000,0,0,,0,1,1,0,0,1,2,1,5,3.0,+2,Torrey Craig
2018-11-15,27-331,DEN,HOME,ATL,W (+45),0,3:44,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,2,0,-0.5,-4,Torrey Craig
2018-11-23,27-339,DEN,HOME,ORL,W (+25),0,4:56,0,4,.000,0,1,.000,0,0,,1,3,4,0,0,0,0,1,0,-1.6,-3,Torrey Craig
2018-11-24,27-340,DEN,AWAY,OKC,W (+7),1,36:04,4,8,.500,0,2,.000,0,1,.000,6,4,10,1,1,2,2,2,8,9.3,-2,Torrey Craig
2018-11-27,27-343,DEN,HOME,LAL,W (+32),1,20:25,0,2,.000,0,1,.000,2,2,1.000,2,6,8,1,0,0,0,3,2,3.3,+19,Torrey Craig
2018-11-30,27-346,DEN,AWAY,POR,W (+1),0,0:33,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-2,Torrey Craig
2018-12-03,27-349,DEN,AWAY,TOR,W (+3),0,17:01,3,4,.750,2,3,.667,0,0,,3,1,4,1,1,0,1,2,8,8.7,+5,Torrey Craig
2018-12-05,27-351,DEN,AWAY,ORL,W (+6),1,25:11,2,2,1.000,0,0,,1,2,.500,1,3,4,1,2,0,1,1,5,6.9,0,Torrey Craig
2018-12-07,27-353,DEN,AWAY,CHO,L (-6),1,18:30,0,5,.000,0,2,.000,0,0,,2,2,4,0,0,0,0,6,0,-3.9,-7,Torrey Craig
2018-12-08,27-354,DEN,AWAY,ATL,L (-8),1,31:52,4,11,.364,0,3,.000,1,3,.333,0,5,5,3,0,2,3,4,9,2.5,-2,Torrey Craig
2018-12-10,27-356,DEN,HOME,MEM,W (+6),1,24:41,3,9,.333,1,5,.200,0,0,,0,0,0,1,1,0,0,3,7,2.4,-5,Torrey Craig
2018-12-14,27-360,DEN,HOME,OKC,W (+11),1,35:20,6,7,.857,3,4,.750,0,0,,2,3,5,3,0,1,1,2,15,15.8,+9,Torrey Craig
2018-12-16,27-362,DEN,HOME,TOR,W (+9),1,39:22,5,14,.357,3,8,.375,0,0,,0,3,3,1,0,1,1,5,13,4.5,-6,Torrey Craig
2018-12-18,27-364,DEN,HOME,DAL,W (+8),1,20:18,2,5,.400,1,3,.333,0,0,,0,1,1,1,0,0,2,5,5,-0.7,-5,Torrey Craig
2018-12-22,28-003,DEN,AWAY,LAC,L (-21),1,26:08,2,5,.400,0,1,.000,2,2,1.000,3,2,5,0,0,1,0,0,6,6.7,-11,Torrey Craig
